,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,12,15,1406,2,0,0,2024-03-11 05:18:35
1,1,9,10,1407,2,0,0,2024-03-11 05:18:35
2,1,17,9,1409,2,0,0,2024-03-11 05:18:35
3,1,3,16,1410,0,0,0,2024-03-11 05:18:35
4,1,11,8,1411,2,0,0,2024-03-11 05:18:35
5,1,15,6,1412,1,0,0,2024-03-11 05:18:35
6,1,18,6,1413,1,0,0,2024-03-11 05:18:35
7,1,12,11,1414,2,0,0,2024-03-11 05:18:35
8,1,3,20,1415,0,0,0,2024-03-11 05:18:35
9,1,15,12,1416,2,0,0,2024-03-11 05:18:35
10,1,3,20,1417,0,0,0,2024-03-11 05:18:35
11,1,26,1,1418,1,0,0,2024-03-11 05:18:35
12,1,7,12,1419,2,0,0,2024-03-11 05:18:35
13,1,11,8,1420,2,0,0,2024-03-11 05:18:35
14,1,11,12,1421,2,0,0,2024-03-11 05:18:35
15,1,7,17,1422,0,0,0,2024-03-11 05:18:35
16,1,12,16,1423,2,0,0,2024-03-11 05:18:35
17,1,18,9,1424,2,0,0,2024-03-11 05:18:35
18,1,0,0,1425,3,1,0,2024-03-11 05:18:35
19,1,6,18,1426,0,0,0,2024-03-11 05:18:35
20,1,13,5,1427,1,0,0,2024-03-11 05:18:35
21,1,0,24,1428,0,0,0,2024-03-11 05:18:35
22,1,0,24,1429,0,0,0,2024-03-11 05:18:35
23,1,17,10,1430,2,0,0,2024-03-11 05:18:35
24,1,19,6,1431,1,0,0,2024-03-11 05:18:35
25,1,9,9,1432,2,0,0,2024-03-11 05:18:35
26,1,9,14,1433,2,0,0,2024-03-11 05:18:35
27,1,13,14,1434,2,0,0,2024-03-11 05:18:35
28,1,13,14,1435,2,0,0,2024-03-11 05:18:35
29,1,4,14,1436,0,0,0,2024-03-11 05:18:35
30,1,12,11,1437,2,0,0,2024-03-11 05:18:35
31,1,14,10,1438,2,0,0,2024-03-11 05:18:35
32,1,17,7,1439,1,0,0,2024-03-11 05:18:35
33,1,20,4,1440,1,0,0,2024-03-11 05:18:35
34,1,18,3,1441,1,0,0,2024-03-11 05:18:35
35,1,16,11,1442,2,0,0,2024-03-11 05:18:35
36,1,15,16,1443,2,0,0,2024-03-11 05:18:35
37,1,16,2,1444,1,0,0,2024-03-11 05:18:35
38,1,8,8,1445,2,0,0,2024-03-11 05:18:35
39,1,16,8,1446,1,0,0,2024-03-11 05:18:35
40,1,14,4,1447,1,0,0,2024-03-11 05:18:35
41,1,18,1,1448,1,0,0,2024-03-11 05:18:35
