,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,11,16,1406,2,0,0,2024-03-07 23:10:08
1,1,8,11,1407,2,0,0,2024-03-07 23:10:08
2,1,24,3,1409,1,0,0,2024-03-07 23:10:08
3,1,2,17,1410,0,0,0,2024-03-07 23:10:08
4,1,12,7,1411,2,0,0,2024-03-07 23:10:08
5,1,4,20,1412,0,0,0,2024-03-07 23:10:08
6,1,16,8,1413,2,0,0,2024-03-07 23:10:08
7,1,8,15,1414,2,0,0,2024-03-07 23:10:08
8,1,10,13,1415,2,0,0,2024-03-07 23:10:08
9,1,16,11,1416,2,0,0,2024-03-07 23:10:08
10,1,10,13,1417,2,0,0,2024-03-07 23:10:08
11,1,16,11,1418,2,0,0,2024-03-07 23:10:08
12,1,8,11,1419,2,0,0,2024-03-07 23:10:08
13,1,10,9,1420,2,0,0,2024-03-07 23:10:08
14,1,13,10,1421,2,0,0,2024-03-07 23:10:08
15,1,3,21,1422,0,0,0,2024-03-07 23:10:08
16,1,8,20,1423,0,0,0,2024-03-07 23:10:08
17,1,20,7,1424,1,0,0,2024-03-07 23:10:08
18,1,0,0,1425,3,1,0,2024-03-07 23:10:08
19,1,19,5,1426,1,0,0,2024-03-07 23:10:08
20,1,2,16,1427,0,0,0,2024-03-07 23:10:08
21,1,0,24,1428,0,0,0,2024-03-07 23:10:08
22,1,0,24,1429,0,0,0,2024-03-07 23:10:08
23,1,14,13,1430,2,0,0,2024-03-07 23:10:08
24,1,18,9,1431,2,0,0,2024-03-07 23:10:08
25,1,12,6,1432,2,0,0,2024-03-07 23:10:08
26,1,11,12,1433,2,0,0,2024-03-07 23:10:08
27,1,15,12,1434,2,0,0,2024-03-07 23:10:08
28,1,16,11,1435,2,0,0,2024-03-07 23:10:08
29,1,11,7,1436,2,0,0,2024-03-07 23:10:08
30,1,13,10,1437,2,0,0,2024-03-07 23:10:08
31,1,5,19,1438,0,0,0,2024-03-07 23:10:08
32,1,12,12,1439,2,0,0,2024-03-07 23:10:08
33,1,19,5,1440,1,0,0,2024-03-07 23:10:08
34,1,22,2,1441,1,0,0,2024-03-07 23:10:08
35,1,16,11,1442,2,0,0,2024-03-07 23:10:08
