,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,24,3,1406,1,0,0,2024-02-23 00:57:22
1,13,6,1407,2,0,0,2024-02-23 00:57:22
2,8,19,1408,0,0,0,2024-02-23 00:57:22
3,17,10,1409,2,0,0,2024-02-23 00:57:22
4,5,14,1410,0,0,0,2024-02-23 00:57:22
5,11,8,1411,2,0,0,2024-02-23 00:57:22
6,6,18,1412,0,0,0,2024-02-23 00:57:22
7,8,16,1413,2,0,0,2024-02-23 00:57:22
8,10,13,1414,2,0,0,2024-02-23 00:57:22
9,7,16,1415,0,0,0,2024-02-23 00:57:22
10,18,9,1416,2,0,0,2024-02-23 00:57:22
11,15,8,1417,2,0,0,2024-02-23 00:57:22
12,10,17,1418,2,0,0,2024-02-23 00:57:22
13,10,9,1419,2,0,0,2024-02-23 00:57:22
14,12,7,1420,2,0,0,2024-02-23 00:57:22
15,7,16,1421,0,0,0,2024-02-23 00:57:22
16,8,16,1422,2,0,0,2024-02-23 00:57:22
17,6,22,1423,0,0,0,2024-02-23 00:57:22
18,2,25,1424,0,0,0,2024-02-23 00:57:22
19,0,0,1425,3,1,0,2024-02-23 00:57:22
20,20,4,1426,1,0,0,2024-02-23 00:57:22
21,7,11,1427,2,0,0,2024-02-23 00:57:22
22,4,20,1428,0,0,0,2024-02-23 00:57:22
23,7,17,1429,0,0,0,2024-02-23 00:57:22
24,11,16,1430,2,0,0,2024-02-23 00:57:22
25,11,16,1431,2,0,0,2024-02-23 00:57:22
26,5,13,1432,0,0,0,2024-02-23 00:57:22
27,21,2,1433,1,0,0,2024-02-23 00:57:22
28,21,6,1434,1,0,0,2024-02-23 00:57:22
29,10,17,1435,2,0,0,2024-02-23 00:57:22
30,7,11,1436,2,0,0,2024-02-23 00:57:22
31,20,3,1437,1,0,0,2024-02-23 00:57:22
32,10,14,1438,2,0,0,2024-02-23 00:57:22
33,12,12,1439,2,0,0,2024-02-23 00:57:22
34,9,15,1440,2,0,0,2024-02-23 00:57:22
35,23,1,1441,1,0,0,2024-02-23 00:57:22
36,23,4,1442,1,0,0,2024-02-23 00:57:22
37,26,5,1443,1,0,0,2024-02-23 00:57:22
38,12,5,1444,1,0,0,2024-02-23 00:57:22
39,17,2,1445,1,0,0,2024-02-23 00:57:22
40,26,1,1446,1,0,0,2024-02-23 00:57:22
41,9,9,1447,2,0,0,2024-02-23 00:57:22
42,15,4,1448,1,0,0,2024-02-23 00:57:22
43,12,7,1449,2,0,0,2024-02-23 00:57:22
44,24,3,1450,1,0,0,2024-02-23 00:57:22
45,22,2,1451,1,0,0,2024-02-23 00:57:22
46,14,8,1452,2,0,0,2024-02-23 00:57:22
47,11,16,1453,2,0,0,2024-02-23 00:57:22
48,23,1,1454,1,0,0,2024-02-23 00:57:22
49,19,8,1455,1,0,0,2024-02-23 00:57:22
50,10,5,1456,2,0,0,2024-02-23 00:57:22
51,18,6,1457,1,0,0,2024-02-23 00:57:22
52,3,16,1458,0,0,0,2024-02-23 00:57:22
53,21,3,1459,1,0,0,2024-02-23 00:57:22
54,8,15,1460,2,0,0,2024-02-23 00:57:22
55,10,13,1461,2,0,0,2024-02-23 00:57:22
56,13,14,1462,2,0,0,2024-02-23 00:57:22
57,6,13,1463,0,0,0,2024-02-23 00:57:22
58,10,13,1464,2,0,0,2024-02-23 00:57:22
59,9,18,1465,2,0,0,2024-02-23 00:57:22
60,12,15,1466,2,0,0,2024-02-23 00:57:22
61,11,12,1467,2,0,0,2024-02-23 00:57:22
62,11,13,1468,2,0,0,2024-02-23 00:57:22
63,17,6,1469,1,0,0,2024-02-23 00:57:22
64,17,2,1470,1,0,0,2024-02-23 00:57:22
65,10,17,1471,2,0,0,2024-02-23 00:57:22
66,6,21,1472,0,0,0,2024-02-23 00:57:22
67,22,1,1473,1,0,0,2024-02-23 00:57:22
68,14,9,1474,2,0,0,2024-02-23 00:57:22
69,22,1,1475,1,0,0,2024-02-23 00:57:22
70,14,13,1476,2,0,0,2024-02-23 00:57:22
71,11,16,1477,2,0,0,2024-02-23 00:57:22
72,11,13,1478,2,0,0,2024-02-23 00:57:22
73,18,0,1479,1,0,0,2024-02-23 00:57:22
74,20,3,1480,1,0,0,2024-02-23 00:57:22
75,20,7,1481,1,0,0,2024-02-23 00:57:22
76,13,11,1484,2,0,0,2024-02-23 00:57:22
77,7,16,1485,0,0,0,2024-02-23 00:57:22
78,7,16,1486,0,0,0,2024-02-23 00:57:22
79,5,18,1487,0,0,0,2024-02-23 00:57:22
80,22,5,1488,1,0,0,2024-02-23 00:57:22
81,11,13,1489,2,0,0,2024-02-23 00:57:22
82,11,12,1490,2,0,0,2024-02-23 00:57:22
83,14,9,1491,2,0,0,2024-02-23 00:57:22
84,2,21,1492,0,0,0,2024-02-23 00:57:22
85,8,19,1493,0,0,0,2024-02-23 00:57:22
86,12,11,1494,2,0,0,2024-02-23 00:57:22
87,10,13,1495,2,0,0,2024-02-23 00:57:22
88,4,19,1496,0,0,0,2024-02-23 00:57:22
89,17,6,1497,1,0,0,2024-02-23 00:57:22
90,0,23,1498,0,0,0,2024-02-23 00:57:22
91,11,16,1499,2,0,0,2024-02-23 00:57:22
92,12,15,1500,2,0,0,2024-02-23 00:57:22
93,15,9,1501,2,0,0,2024-02-23 00:57:22
94,3,20,1502,0,0,0,2024-02-23 00:57:22
95,16,11,1503,2,0,0,2024-02-23 00:57:22
96,17,7,1504,1,0,0,2024-02-23 00:57:22
97,14,9,1505,2,0,0,2024-02-23 00:57:22
98,17,6,1506,1,0,0,2024-02-23 00:57:22
99,9,14,1507,2,0,0,2024-02-23 00:57:22
100,21,2,1508,1,0,0,2024-02-23 00:57:22
101,15,4,1510,1,0,0,2024-02-23 00:57:22
102,11,12,1511,2,0,0,2024-02-23 00:57:22
103,11,16,1512,2,0,0,2024-02-23 00:57:22
104,8,15,1513,2,0,0,2024-02-23 00:57:22
105,17,6,1514,1,0,0,2024-02-23 00:57:22
106,23,0,1515,1,0,0,2024-02-23 00:57:22
107,12,11,1516,2,0,0,2024-02-23 00:57:22
108,16,7,1517,2,0,0,2024-02-23 00:57:22
109,5,19,1518,0,0,0,2024-02-23 00:57:22
110,8,15,1519,2,0,0,2024-02-23 00:57:22
111,9,14,1520,2,0,0,2024-02-23 00:57:22
112,5,13,1521,0,0,0,2024-02-23 00:57:22
113,14,4,1522,1,0,0,2024-02-23 00:57:22
114,22,1,1523,1,0,0,2024-02-23 00:57:22
115,13,10,1524,2,0,0,2024-02-23 00:57:22
116,13,10,1525,2,0,0,2024-02-23 00:57:22
117,16,11,1526,2,0,0,2024-02-23 00:57:22
118,15,12,1527,2,0,0,2024-02-23 00:57:22
119,19,4,1528,1,0,0,2024-02-23 00:57:22
120,17,10,1529,2,0,0,2024-02-23 00:57:22
121,2,25,1531,0,0,0,2024-02-23 00:57:22
122,5,22,1532,0,0,0,2024-02-23 00:57:22
123,14,13,1533,2,0,0,2024-02-23 00:57:22
124,9,18,1534,2,0,0,2024-02-23 00:57:22
125,4,23,1535,0,0,0,2024-02-23 00:57:22
126,8,15,1536,2,0,0,2024-02-23 00:57:22
127,20,3,1537,1,0,0,2024-02-23 00:57:22
128,21,6,1538,1,0,0,2024-02-23 00:57:22
129,4,20,1539,0,0,0,2024-02-23 00:57:22
130,4,19,1540,0,0,0,2024-02-23 00:57:22
131,14,9,1541,2,0,0,2024-02-23 00:57:22
132,22,1,1542,1,0,0,2024-02-23 00:57:22
133,12,12,1543,2,0,0,2024-02-23 00:57:22
134,6,17,1544,0,0,0,2024-02-23 00:57:22
135,8,16,1545,2,0,0,2024-02-23 00:57:22
136,24,3,1546,1,0,0,2024-02-23 00:57:22
137,1,11,1547,0,0,0,2024-02-23 00:57:22
