,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,21,6,1406,1,0,0,2024-03-10 13:15:12
1,1,6,13,1407,0,0,0,2024-03-10 13:15:12
2,1,7,20,1409,0,0,0,2024-03-10 13:15:12
3,1,5,14,1410,0,0,0,2024-03-10 13:15:12
4,1,14,5,1411,1,0,0,2024-03-10 13:15:12
5,1,16,8,1412,2,0,0,2024-03-10 13:15:12
6,1,11,13,1413,2,0,0,2024-03-10 13:15:12
7,1,20,3,1414,1,0,0,2024-03-10 13:15:12
8,1,1,22,1415,0,0,0,2024-03-10 13:15:12
9,1,22,5,1416,1,0,0,2024-03-10 13:15:12
10,1,3,20,1417,0,0,0,2024-03-10 13:15:12
11,1,21,6,1418,1,0,0,2024-03-10 13:15:12
12,1,14,5,1419,1,0,0,2024-03-10 13:15:12
13,1,4,15,1420,0,0,0,2024-03-10 13:15:12
14,1,10,13,1421,2,0,0,2024-03-10 13:15:12
15,1,10,14,1422,2,0,0,2024-03-10 13:15:12
16,1,19,9,1423,2,0,0,2024-03-10 13:15:12
17,1,25,2,1424,1,0,0,2024-03-10 13:15:12
18,1,0,0,1425,3,1,0,2024-03-10 13:15:12
19,1,5,19,1426,0,0,0,2024-03-10 13:15:12
20,1,3,15,1427,0,0,0,2024-03-10 13:15:12
21,1,2,22,1428,0,0,0,2024-03-10 13:15:12
22,1,2,22,1429,0,0,0,2024-03-10 13:15:12
23,1,12,15,1430,2,0,0,2024-03-10 13:15:12
24,1,17,10,1431,2,0,0,2024-03-10 13:15:12
25,1,7,11,1432,2,0,0,2024-03-10 13:15:12
26,1,23,0,1433,1,0,0,2024-03-10 13:15:12
27,1,21,6,1434,1,0,0,2024-03-10 13:15:12
28,1,20,7,1435,1,0,0,2024-03-10 13:15:12
29,1,14,4,1436,1,0,0,2024-03-10 13:15:12
30,1,8,15,1437,2,0,0,2024-03-10 13:15:12
31,1,13,11,1438,2,0,0,2024-03-10 13:15:12
32,1,16,8,1439,2,0,0,2024-03-10 13:15:12
33,1,20,4,1440,1,0,0,2024-03-10 13:15:12
34,1,17,7,1441,1,0,0,2024-03-10 13:15:12
35,1,27,0,1442,1,0,0,2024-03-10 13:15:12
36,1,31,0,1443,1,0,0,2024-03-10 13:15:12
37,1,6,11,1444,2,0,0,2024-03-10 13:15:12
38,1,16,3,1445,1,0,0,2024-03-10 13:15:12
39,1,15,12,1446,2,0,0,2024-03-10 13:15:12
40,1,3,15,1447,0,0,0,2024-03-10 13:15:12
41,1,18,1,1448,1,0,0,2024-03-10 13:15:12
42,1,19,0,1449,1,0,0,2024-03-10 13:15:12
43,1,21,6,1450,1,0,0,2024-03-10 13:15:12
44,1,19,5,1451,1,0,0,2024-03-10 13:15:12
45,1,24,0,1452,1,0,0,2024-03-10 13:15:12
46,1,23,4,1453,1,0,0,2024-03-10 13:15:12
47,1,20,4,1454,1,0,0,2024-03-10 13:15:12
48,1,25,2,1455,1,0,0,2024-03-10 13:15:12
49,1,7,8,1456,2,0,0,2024-03-10 13:15:12
50,1,5,19,1457,0,0,0,2024-03-10 13:15:12
51,1,6,13,1458,0,0,0,2024-03-10 13:15:12
52,1,10,14,1459,2,0,0,2024-03-10 13:15:12
53,1,22,1,1460,1,0,0,2024-03-10 13:15:12
54,1,10,13,1461,2,0,0,2024-03-10 13:15:12
55,1,16,11,1462,2,0,0,2024-03-10 13:15:12
56,1,6,13,1463,0,0,0,2024-03-10 13:15:12
57,1,20,3,1464,1,0,0,2024-03-10 13:15:12
58,1,13,14,1465,2,0,0,2024-03-10 13:15:12
59,1,21,6,1466,1,0,0,2024-03-10 13:15:12
60,1,8,15,1467,2,0,0,2024-03-10 13:15:12
61,1,15,9,1468,2,0,0,2024-03-10 13:15:12
62,1,12,11,1469,2,0,0,2024-03-10 13:15:12
63,1,5,14,1470,0,0,0,2024-03-10 13:15:12
64,1,16,11,1471,2,0,0,2024-03-10 13:15:12
65,1,19,8,1472,1,0,0,2024-03-10 13:15:12
66,1,9,14,1473,2,0,0,2024-03-10 13:15:12
67,1,21,2,1474,1,0,0,2024-03-10 13:15:12
68,1,10,13,1475,2,0,0,2024-03-10 13:15:12
69,1,15,12,1476,2,0,0,2024-03-10 13:15:12
70,1,14,10,1478,2,0,0,2024-03-10 13:15:12
71,1,17,1,1479,1,0,0,2024-03-10 13:15:12
72,1,9,14,1480,2,0,0,2024-03-10 13:15:12
73,1,21,6,1481,1,0,0,2024-03-10 13:15:12
74,1,24,0,1484,1,0,0,2024-03-10 13:15:12
75,1,12,11,1485,2,0,0,2024-03-10 13:15:12
76,1,16,7,1486,2,0,0,2024-03-10 13:15:12
77,1,7,16,1487,0,0,0,2024-03-10 13:15:12
78,1,12,15,1488,2,0,0,2024-03-10 13:15:12
79,1,24,0,1489,1,0,0,2024-03-10 13:15:12
80,1,2,21,1490,0,0,0,2024-03-10 13:15:12
81,1,19,4,1491,1,0,0,2024-03-10 13:15:12
82,1,0,23,1492,0,0,0,2024-03-10 13:15:12
83,1,14,13,1493,2,0,0,2024-03-10 13:15:12
84,1,5,18,1494,0,0,0,2024-03-10 13:15:12
85,1,6,17,1495,0,0,0,2024-03-10 13:15:12
86,1,15,8,1496,2,0,0,2024-03-10 13:15:12
87,1,21,2,1497,1,0,0,2024-03-10 13:15:12
88,1,8,15,1498,2,0,0,2024-03-10 13:15:12
89,1,18,9,1499,2,0,0,2024-03-10 13:15:12
90,1,21,6,1500,1,0,0,2024-03-10 13:15:12
91,1,9,15,1501,2,0,0,2024-03-10 13:15:12
92,1,13,10,1502,2,0,0,2024-03-10 13:15:12
93,1,22,5,1503,1,0,0,2024-03-10 13:15:12
94,1,19,5,1504,1,0,0,2024-03-10 13:15:12
95,1,16,7,1505,2,0,0,2024-03-10 13:15:12
96,1,15,8,1506,2,0,0,2024-03-10 13:15:12
97,1,15,8,1507,2,0,0,2024-03-10 13:15:12
