,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
113,0,18,1522,0,0,0,2024-02-21 00:48:56
114,22,1,1523,1,0,0,2024-02-21 00:48:56
115,9,14,1524,2,0,0,2024-02-21 00:48:56
116,13,10,1525,2,0,0,2024-02-21 00:48:56
117,21,6,1526,1,0,0,2024-02-21 00:48:56
118,16,11,1527,2,0,0,2024-02-21 00:48:56
119,7,16,1528,0,0,0,2024-02-21 00:48:56
120,23,4,1529,1,0,0,2024-02-21 00:48:56
121,11,16,1530,2,0,0,2024-02-21 00:48:56
122,11,16,1531,2,0,0,2024-02-21 00:48:56
123,15,12,1532,2,0,0,2024-02-21 00:48:56
124,19,8,1533,1,0,0,2024-02-21 00:48:56
125,14,13,1534,2,0,0,2024-02-21 00:48:56
126,17,10,1535,2,0,0,2024-02-21 00:48:56
127,7,16,1536,0,0,0,2024-02-21 00:48:56
128,7,16,1537,0,0,0,2024-02-21 00:48:56
129,12,15,1538,2,0,0,2024-02-21 00:48:56
130,10,14,1539,2,0,0,2024-02-21 00:48:56
131,1,22,1540,0,0,0,2024-02-21 00:48:56
132,2,21,1541,0,0,0,2024-02-21 00:48:56
133,4,19,1542,0,0,0,2024-02-21 00:48:56
134,11,13,1543,2,0,0,2024-02-21 00:48:56
135,1,22,1544,0,0,0,2024-02-21 00:48:56
136,2,22,1545,0,0,0,2024-02-21 00:48:56
137,8,19,1546,0,0,0,2024-02-21 00:48:56
138,0,12,1547,0,0,0,2024-02-21 00:48:56
139,12,11,1548,2,0,0,2024-02-21 00:48:56
140,8,15,1549,2,0,0,2024-02-21 00:48:56
141,8,19,1550,0,0,0,2024-02-21 00:48:56
142,13,10,1551,2,0,0,2024-02-21 00:48:56
143,11,8,1552,2,0,0,2024-02-21 00:48:56
144,3,20,1553,0,0,0,2024-02-21 00:48:56
145,10,13,1554,2,0,0,2024-02-21 00:48:56
146,7,16,1555,0,0,0,2024-02-21 00:48:56
147,16,11,1557,2,0,0,2024-02-21 00:48:56
148,7,16,1558,0,0,0,2024-02-21 00:48:56
149,1,22,1559,0,0,0,2024-02-21 00:48:56
150,10,14,1560,2,0,0,2024-02-21 00:48:56
151,11,12,1561,2,0,0,2024-02-21 00:48:56
152,2,22,1562,0,0,0,2024-02-21 00:48:56
153,1,22,1564,0,0,0,2024-02-21 00:48:56
154,10,13,1565,2,0,0,2024-02-21 00:48:56
155,13,11,1566,2,0,0,2024-02-21 00:48:56
156,11,13,2152,2,0,0,2024-02-21 00:48:56
157,17,1,2153,1,0,0,2024-02-21 00:48:56
158,4,20,2154,0,0,0,2024-02-21 00:48:56
159,19,5,2155,1,0,0,2024-02-21 00:48:56
160,8,16,2156,2,0,0,2024-02-21 00:48:56
161,2,22,2157,0,0,0,2024-02-21 00:48:56
162,12,12,2158,2,0,0,2024-02-21 00:48:56
163,13,11,2159,2,0,0,2024-02-21 00:48:56
164,12,12,2160,2,0,0,2024-02-21 00:48:56
165,13,11,2161,2,0,0,2024-02-21 00:48:56
166,8,16,2162,2,0,0,2024-02-21 00:48:56
167,11,13,2163,2,0,0,2024-02-21 00:48:56
168,5,19,2164,0,0,0,2024-02-21 00:48:56
169,6,18,2165,0,0,0,2024-02-21 00:48:56
170,19,5,2166,1,0,0,2024-02-21 00:48:56
171,1,16,2167,0,0,0,2024-02-21 00:48:56
172,13,5,2168,1,0,0,2024-02-21 00:48:56
173,0,24,2169,0,0,0,2024-02-21 00:48:56
