,address,code_district,code_suburb,id,number,total_bases,last_updated,longitude,latitude,coordinates
141,"Paseo de la Habana nº 42,",05,051,1555,149,23,2024-03-15 08:58:01,-3.6879303,40.4498515,"(-3.6879303, 40.4498515)"
142,"Calle Orense nº 12,",06,062,1557,151,27,2024-03-15 08:58:01,-3.6953592650123657,40.44881224951987,"(-3.6953592650123657, 40.44881224951987)"
143,"Avenida del General Perón, 4 ,",06,062,1558,152,23,2024-03-15 08:58:01,-3.6989,40.4525,"(-3.6989, 40.4525)"
144,"Avenida del General Perón, 36 ,",06,062,1559,153,23,2024-03-15 08:58:01,-3.6936,40.4523,"(-3.6936, 40.4523)"
145,"Calle Orense nº 36,",06,062,1560,154,24,2024-03-15 08:58:01,-3.6946218,40.4548456,"(-3.6946218, 40.4548456)"
146,"Calle San Germán nº 57,",06,062,1561,155,23,2024-03-15 08:58:01,-3.700930190178302,40.4573342300643,"(-3.700930190178302, 40.4573342300643)"
147,"Calle Sor Ángela de la Cruz nº 2,",06,063,1562,156,24,2024-03-15 08:58:01,-3.691533,40.4592351,"(-3.691533, 40.4592351)"
148,"Avenida de Alberto Alcocer nº 22,",05,054,1564,158,23,2024-03-15 08:58:01,-3.684625,40.45869,"(-3.684625, 40.45869)"
149,"Paseo de la Habana nº 63,",05,054,1565,159,23,2024-03-15 08:58:01,-3.6835926,40.4543852,"(-3.6835926, 40.4543852)"
150,"Calle Colombia, 11 ,",05,054,1566,160,24,2024-03-15 08:58:01,-3.6763439,40.4572466,"(-3.6763439, 40.4572466)"
151,"Calle del Pinzón, 111 ,",11,114,2152,376,24,2024-03-15 08:58:01,-3.7405438,40.39229225,"(-3.7405438, 40.39229225)"
152,"Avenida De Abrantes, 55 ,",11,117,2153,377,18,2024-03-15 08:58:01,-3.72783615,40.38091762,"(-3.72783615, 40.38091762)"
153,"Calle Mota del Cuervo, 72 ,",16,163,2154,539,24,2024-03-15 08:58:01,-3.63135715,40.4648762,"(-3.63135715, 40.4648762)"
154,"Calle Seseña, 93 ,",10,104,2155,334,24,2024-03-15 08:58:01,-3.76815631,40.39497294,"(-3.76815631, 40.39497294)"
155,"Plaza Patricio, 5 ,",10,105,2156,335,24,2024-03-15 08:58:01,-3.77057541,40.39659757,"(-3.77057541, 40.39659757)"
156,"Calle Troya, 11,",20,207,2157,519,24,2024-03-15 08:58:01,-3.61191521,40.43699597,"(-3.61191521, 40.43699597)"
157,"Calle Eugenia de Montijo, 83,",11,116,2158,378,24,2024-03-15 08:58:01,-3.7509733,40.37562288,"(-3.7509733, 40.37562288)"
158,"Calle Antonia Rodriguez Sacristan, 4,",11,116,2159,379,24,2024-03-15 08:58:01,-3.74765739,40.37313777,"(-3.74765739, 40.37313777)"
159,"Calle Caleruega, 14 ,",15,159,2160,495,24,2024-03-15 08:58:01,-3.670588,40.478746,"(-3.670588, 40.478746)"
160,"Calle Islas Cies, 27,",08,083,2161,593,24,2024-03-15 08:58:01,-3.71869067,40.48027409,"(-3.71869067, 40.48027409)"
161,"Calle Pedro Rico, 49,",08,085,2162,594,24,2024-03-15 08:58:01,-3.703918,40.48194,"(-3.703918, 40.48194)"
162,"Avenida de Betanzos, 68,",08,084,2163,595,24,2024-03-15 08:58:01,-3.7132206,40.48178815,"(-3.7132206, 40.48178815)"
163,"Calle Dulce Chacón, S/N ,",16,166,2165,540,24,2024-03-15 08:58:01,-3.6636484,40.4845596,"(-3.6636484, 40.4845596)"
164,"Calle Oliva de Plasencia, 1,",10,107,2166,336,24,2024-03-15 08:58:01,-3.77915183,40.37850071,"(-3.77915183, 40.37850071)"
165,"Calle Valmojado, 295,",10,104,2167,337,18,2024-03-15 08:58:01,-3.76048923,40.38614104,"(-3.76048923, 40.38614104)"
166,"Calle Guareña, 22 ,",10,107,2168,338,18,2024-03-15 08:58:01,-3.7653391035306005,40.386362337060476,"(-3.7653391035306005, 40.386362337060476)"
167,"Avenida de las Aguilas , 110,",10,107,2169,339,24,2024-03-15 08:58:01,-3.78061952,40.38132642,"(-3.78061952, 40.38132642)"
168,"Calle de la Foresta nº8,",08,086,2170,597,23,2024-03-15 08:58:01,-3.66777681,40.49853277,"(-3.66777681, 40.49853277)"
169,"Calle José Gutiérrez Maroto, 36 ,",18,183,2171,445,27,2024-03-15 08:58:01,-3.60503564,40.36334587,"(-3.60503564, 40.36334587)"
170,"Calle La Cabrera, sn,",08,083,2172,599,27,2024-03-15 08:58:01,-3.71920443,40.47223267,"(-3.71920443, 40.47223267)"
171,"Calle Fuente de Lima, 10,",10,107,2173,343,23,2024-03-15 08:58:01,-3.78339301,40.38358975,"(-3.78339301, 40.38358975)"
172,"Calle Ocaña, 103,",10,104,2174,344,23,2024-03-15 08:58:01,-3.75292035,40.38586273,"(-3.75292035, 40.38586273)"
173,"Paseo de Juan XXIII, 24,",09,093,2175,313,27,2024-03-15 08:58:01,-3.7169359,40.448084,"(-3.7169359, 40.448084)"
174,"Avenida Valladolid, 47D ,",09,091,2176,314,27,2024-03-15 08:58:01,-3.73068,40.42966,"(-3.73068, 40.42966)"
175,"Calle de Caroli, 10,",09,097,2177,315,23,2024-03-15 08:58:01,-3.784627,40.45862,"(-3.784627, 40.45862)"
176,"Calle Antonio Machado, s/n ,",09,094,2178,316,19,2024-03-15 08:58:01,-3.71995383,40.46439687,"(-3.71995383, 40.46439687)"
177,"Calle Antonio Machado, 30,",09,094,2179,317,27,2024-03-15 08:58:01,-3.71921712,40.46826955,"(-3.71921712, 40.46826955)"
178,"Calle Fuente del Tiro, 72 ,",10,107,2180,345,24,2024-03-15 08:58:01,-3.7798001,40.38308791,"(-3.7798001, 40.38308791)"
179,"Calle del Pico Chilegua, 3,",18,181,2182,449,24,2024-03-15 08:58:01,-3.61869106,40.37286701,"(-3.61869106, 40.37286701)"
180,"Calle Camino de las Hormigueras, 161,",18,181,2183,450,24,2024-03-15 08:58:01,-3.6370762,40.3762555,"(-3.6370762, 40.3762555)"
181,"Calle Clara del Rey, 17 ,",05,052,2184,294,24,2024-03-15 08:58:01,-3.672339,40.440944,"(-3.672339, 40.440944)"
182,"Avenida del Camino de Santiago, 4,",08,086,2185,604,23,2024-03-15 08:58:01,-3.66955215,40.50910428,"(-3.66955215, 40.50910428)"
183,"Calle José de cadalso, 62 ,",10,107,2186,348,27,2024-03-15 08:58:01,-3.77024778,40.37959145,"(-3.77024778, 40.37959145)"
184,"Calle Enrique Garcia Alvarez, 5,",18,182,2187,438,27,2024-03-15 08:58:01,-3.6140607,40.3804482,"(-3.6140607, 40.3804482)"
185,"Calle Granja de San Idelfonso, 14 ,",18,183,2188,451,27,2024-03-15 08:58:01,-3.62283116,40.36813427,"(-3.62283116, 40.36813427)"
186,"Avenida de Las Suertes, 15,",18,183,2189,452,23,2024-03-15 08:58:01,-3.6078539,40.3713613,"(-3.6078539, 40.3713613)"
187,"Avenida del Ensanche de Vallecas, 9,",18,183,2190,453,27,2024-03-15 08:58:01,-3.61253028,40.37043968,"(-3.61253028, 40.37043968)"
188,"Calle Gran Via del Sureste, 22,",18,183,2191,454,27,2024-03-15 08:58:01,-3.5897045,40.3631604,"(-3.5897045, 40.3631604)"
189,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",02,023,2205,267,23,2024-03-15 08:58:01,-3.7003996647238746,40.39500000000003,"(-3.7003996647238746, 40.39500000000003)"
190,"Calle Rafaela Ybarra, 22,Comunidad de Madrid España",12,126,2207,391,23,2024-03-15 08:58:01,-3.711296220901499,40.3817026328731,"(-3.711296220901499, 40.3817026328731)"
191,"c/ Ginzo de Limia, 47,",08,084,2214,580,23,2024-03-15 08:58:01,-3.706904,40.48337,"(-3.706904, 40.48337)"
