,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,19,8,1406,1,0,0,2024-02-24 14:39:58
1,0,19,1407,0,0,0,2024-02-24 14:39:58
2,15,12,1408,2,0,0,2024-02-24 14:39:58
3,2,24,1409,0,0,0,2024-02-24 14:39:58
4,12,7,1410,2,0,0,2024-02-24 14:39:58
5,16,3,1411,1,0,0,2024-02-24 14:39:58
6,13,11,1412,2,0,0,2024-02-24 14:39:58
7,4,20,1413,0,0,0,2024-02-24 14:39:58
8,18,5,1414,1,0,0,2024-02-24 14:39:58
9,4,19,1415,0,0,0,2024-02-24 14:39:58
10,21,6,1416,1,0,0,2024-02-24 14:39:58
11,16,7,1417,2,0,0,2024-02-24 14:39:58
12,18,9,1418,2,0,0,2024-02-24 14:39:58
13,7,12,1419,2,0,0,2024-02-24 14:39:58
14,12,7,1420,2,0,0,2024-02-24 14:39:58
15,3,20,1421,0,0,0,2024-02-24 14:39:58
16,5,19,1422,0,0,0,2024-02-24 14:39:58
17,17,11,1423,2,0,0,2024-02-24 14:39:58
18,18,9,1424,2,0,0,2024-02-24 14:39:58
19,0,0,1425,3,1,0,2024-02-24 14:39:58
20,3,21,1426,0,0,0,2024-02-24 14:39:58
21,7,11,1427,2,0,0,2024-02-24 14:39:58
22,19,5,1428,1,0,0,2024-02-24 14:39:58
23,16,8,1429,2,0,0,2024-02-24 14:39:58
24,7,20,1430,0,0,0,2024-02-24 14:39:58
25,5,22,1431,0,0,0,2024-02-24 14:39:58
26,15,3,1432,1,0,0,2024-02-24 14:39:58
27,15,8,1433,2,0,0,2024-02-24 14:39:58
28,16,11,1434,2,0,0,2024-02-24 14:39:58
29,5,22,1435,0,0,0,2024-02-24 14:39:58
30,10,8,1436,2,0,0,2024-02-24 14:39:58
31,6,17,1437,0,0,0,2024-02-24 14:39:58
32,17,7,1438,1,0,0,2024-02-24 14:39:58
33,12,12,1439,2,0,0,2024-02-24 14:39:58
34,16,8,1440,2,0,0,2024-02-24 14:39:58
35,7,17,1441,0,0,0,2024-02-24 14:39:58
36,27,0,1442,1,0,0,2024-02-24 14:39:58
37,25,6,1443,1,0,0,2024-02-24 14:39:58
38,5,13,1444,0,0,0,2024-02-24 14:39:58
39,13,5,1445,1,0,0,2024-02-24 14:39:58
40,15,12,1446,2,0,0,2024-02-24 14:39:58
41,3,15,1447,0,0,0,2024-02-24 14:39:58
42,4,15,1448,0,0,0,2024-02-24 14:39:58
43,16,3,1449,1,0,0,2024-02-24 14:39:58
44,19,8,1450,1,0,0,2024-02-24 14:39:58
45,21,3,1451,1,0,0,2024-02-24 14:39:58
46,20,3,1452,1,0,0,2024-02-24 14:39:58
47,12,15,1453,2,0,0,2024-02-24 14:39:58
48,24,0,1454,1,0,0,2024-02-24 14:39:58
49,27,0,1455,1,0,0,2024-02-24 14:39:58
50,8,7,1456,2,0,0,2024-02-24 14:39:58
51,12,12,1457,2,0,0,2024-02-24 14:39:58
52,13,6,1458,2,0,0,2024-02-24 14:39:58
53,10,14,1459,2,0,0,2024-02-24 14:39:58
54,6,17,1460,0,0,0,2024-02-24 14:39:58
55,11,12,1461,2,0,0,2024-02-24 14:39:58
56,14,13,1462,2,0,0,2024-02-24 14:39:58
57,7,12,1463,2,0,0,2024-02-24 14:39:58
58,20,3,1464,1,0,0,2024-02-24 14:39:58
