,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,17,10,1406,2,0,0,2024-03-13 12:59:27
1,1,2,17,1407,0,0,0,2024-03-13 12:59:27
2,1,19,8,1409,1,0,0,2024-03-13 12:59:27
3,1,4,15,1410,0,0,0,2024-03-13 12:59:27
4,1,5,14,1411,0,0,0,2024-03-13 12:59:27
5,1,15,7,1412,1,0,0,2024-03-13 12:59:27
6,1,14,10,1413,2,0,0,2024-03-13 12:59:27
7,1,25,0,1414,1,0,0,2024-03-13 12:59:27
8,1,7,16,1415,0,0,0,2024-03-13 12:59:27
9,1,10,17,1416,2,0,0,2024-03-13 12:59:27
10,1,8,15,1417,2,0,0,2024-03-13 12:59:27
11,1,20,6,1418,1,0,0,2024-03-13 12:59:27
12,1,9,10,1419,2,0,0,2024-03-13 12:59:27
13,1,12,7,1420,2,0,0,2024-03-13 12:59:27
14,1,4,19,1421,0,0,0,2024-03-13 12:59:27
15,1,15,9,1422,2,0,0,2024-03-13 12:59:27
16,1,10,18,1423,2,0,0,2024-03-13 12:59:27
17,1,26,1,1424,1,0,0,2024-03-13 12:59:27
18,1,0,0,1425,3,1,0,2024-03-13 12:59:27
19,1,14,10,1426,2,0,0,2024-03-13 12:59:27
20,1,7,11,1427,2,0,0,2024-03-13 12:59:27
21,1,0,24,1428,0,0,0,2024-03-13 12:59:27
22,1,1,23,1429,0,0,0,2024-03-13 12:59:27
23,1,12,15,1430,2,0,0,2024-03-13 12:59:27
24,1,13,14,1431,2,0,0,2024-03-13 12:59:27
25,1,15,3,1432,1,0,0,2024-03-13 12:59:27
26,1,23,0,1433,1,0,0,2024-03-13 12:59:27
27,1,16,11,1434,2,0,0,2024-03-13 12:59:27
28,1,20,7,1435,1,0,0,2024-03-13 12:59:27
29,1,17,1,1436,1,0,0,2024-03-13 12:59:27
30,1,8,15,1437,2,0,0,2024-03-13 12:59:27
31,1,12,12,1438,2,0,0,2024-03-13 12:59:27
32,1,5,19,1439,0,0,0,2024-03-13 12:59:27
33,1,8,16,1440,2,0,0,2024-03-13 12:59:27
34,1,3,21,1441,0,0,0,2024-03-13 12:59:27
35,1,1,26,1442,0,0,0,2024-03-13 12:59:27
36,1,9,22,1443,0,0,0,2024-03-13 12:59:27
37,1,10,8,1444,2,0,0,2024-03-13 12:59:27
38,1,7,12,1445,2,0,0,2024-03-13 12:59:27
39,1,11,16,1446,2,0,0,2024-03-13 12:59:27
40,1,1,17,1447,0,0,0,2024-03-13 12:59:27
41,1,5,14,1448,0,0,0,2024-03-13 12:59:27
42,1,13,6,1449,2,0,0,2024-03-13 12:59:27
43,1,10,17,1450,2,0,0,2024-03-13 12:59:27
44,1,17,7,1451,1,0,0,2024-03-13 12:59:27
45,1,20,4,1452,1,0,0,2024-03-13 12:59:27
46,1,16,8,1454,2,0,0,2024-03-13 12:59:27
47,1,21,6,1455,1,0,0,2024-03-13 12:59:27
48,1,7,8,1456,2,0,0,2024-03-13 12:59:27
49,1,15,9,1457,2,0,0,2024-03-13 12:59:27
50,1,12,7,1458,2,0,0,2024-03-13 12:59:27
51,1,4,19,1459,0,0,0,2024-03-13 12:59:27
52,1,20,3,1460,1,0,0,2024-03-13 12:59:27
53,1,16,7,1461,2,0,0,2024-03-13 12:59:27
54,1,19,7,1462,1,0,0,2024-03-13 12:59:27
55,1,3,16,1463,0,0,0,2024-03-13 12:59:27
