,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,19,8,1406,1,0,0,2024-02-22 13:57:01
1,17,2,1407,1,0,0,2024-02-22 13:57:01
2,11,16,1408,2,0,0,2024-02-22 13:57:01
3,14,13,1409,2,0,0,2024-02-22 13:57:01
4,3,16,1410,0,0,0,2024-02-22 13:57:01
5,13,6,1411,2,0,0,2024-02-22 13:57:01
6,23,1,1412,1,0,0,2024-02-22 13:57:01
7,13,11,1413,2,0,0,2024-02-22 13:57:01
8,16,7,1414,2,0,0,2024-02-22 13:57:01
9,4,19,1415,0,0,0,2024-02-22 13:57:01
10,7,20,1416,0,0,0,2024-02-22 13:57:01
11,13,10,1417,2,0,0,2024-02-22 13:57:01
12,21,6,1418,1,0,0,2024-02-22 13:57:01
13,3,16,1419,0,0,0,2024-02-22 13:57:01
14,16,3,1420,1,0,0,2024-02-22 13:57:01
15,2,21,1421,0,0,0,2024-02-22 13:57:01
16,12,12,1422,2,0,0,2024-02-22 13:57:01
17,23,5,1423,1,0,0,2024-02-22 13:57:01
18,27,0,1424,1,0,0,2024-02-22 13:57:01
19,0,0,1425,3,1,0,2024-02-22 13:57:01
20,13,11,1426,2,0,0,2024-02-22 13:57:01
21,14,4,1427,1,0,0,2024-02-22 13:57:01
22,5,19,1428,0,0,0,2024-02-22 13:57:01
23,4,20,1429,0,0,0,2024-02-22 13:57:01
24,19,8,1430,1,0,0,2024-02-22 13:57:01
25,18,9,1431,2,0,0,2024-02-22 13:57:01
26,17,1,1432,1,0,0,2024-02-22 13:57:01
27,12,11,1433,2,0,0,2024-02-22 13:57:01
28,26,1,1434,1,0,0,2024-02-22 13:57:01
29,11,16,1435,2,0,0,2024-02-22 13:57:01
30,12,6,1436,2,0,0,2024-02-22 13:57:01
31,23,0,1437,1,0,0,2024-02-22 13:57:01
32,14,10,1438,2,0,0,2024-02-22 13:57:01
33,20,4,1439,1,0,0,2024-02-22 13:57:01
34,8,16,1440,2,0,0,2024-02-22 13:57:01
35,7,17,1441,0,0,0,2024-02-22 13:57:01
36,4,23,1442,0,0,0,2024-02-22 13:57:01
37,2,29,1443,0,0,0,2024-02-22 13:57:01
38,6,11,1444,2,0,0,2024-02-22 13:57:01
39,5,14,1445,0,0,0,2024-02-22 13:57:01
40,15,12,1446,2,0,0,2024-02-22 13:57:01
41,3,15,1447,0,0,0,2024-02-22 13:57:01
42,10,9,1448,2,0,0,2024-02-22 13:57:01
43,3,16,1449,0,0,0,2024-02-22 13:57:01
44,15,12,1450,2,0,0,2024-02-22 13:57:01
45,22,2,1451,1,0,0,2024-02-22 13:57:01
46,14,9,1452,2,0,0,2024-02-22 13:57:01
47,27,0,1453,1,0,0,2024-02-22 13:57:01
48,16,8,1454,2,0,0,2024-02-22 13:57:01
49,26,1,1455,1,0,0,2024-02-22 13:57:01
50,11,4,1456,1,0,0,2024-02-22 13:57:01
51,23,1,1457,1,0,0,2024-02-22 13:57:01
52,5,14,1458,0,0,0,2024-02-22 13:57:01
53,6,18,1459,0,0,0,2024-02-22 13:57:01
54,9,14,1460,2,0,0,2024-02-22 13:57:01
55,13,10,1461,2,0,0,2024-02-22 13:57:01
56,11,16,1462,2,0,0,2024-02-22 13:57:01
57,5,14,1463,0,0,0,2024-02-22 13:57:01
58,20,3,1464,1,0,0,2024-02-22 13:57:01
59,20,7,1465,1,0,0,2024-02-22 13:57:01
60,13,14,1466,2,0,0,2024-02-22 13:57:01
61,12,11,1467,2,0,0,2024-02-22 13:57:01
62,10,14,1468,2,0,0,2024-02-22 13:57:01
63,15,8,1469,2,0,0,2024-02-22 13:57:01
64,16,3,1470,1,0,0,2024-02-22 13:57:01
65,15,12,1471,2,0,0,2024-02-22 13:57:01
66,18,9,1472,2,0,0,2024-02-22 13:57:01
67,2,21,1473,0,0,0,2024-02-22 13:57:01
68,9,14,1474,2,0,0,2024-02-22 13:57:01
69,1,22,1475,0,0,0,2024-02-22 13:57:01
70,12,15,1476,2,0,0,2024-02-22 13:57:01
71,11,16,1477,2,0,0,2024-02-22 13:57:01
72,6,18,1478,0,0,0,2024-02-22 13:57:01
73,9,9,1479,2,0,0,2024-02-22 13:57:01
74,12,11,1480,2,0,0,2024-02-22 13:57:01
75,6,21,1481,0,0,0,2024-02-22 13:57:01
76,10,14,1484,2,0,0,2024-02-22 13:57:01
77,2,21,1485,0,0,0,2024-02-22 13:57:01
78,14,9,1486,2,0,0,2024-02-22 13:57:01
79,14,9,1487,2,0,0,2024-02-22 13:57:01
80,7,20,1488,0,0,0,2024-02-22 13:57:01
81,21,3,1489,1,0,0,2024-02-22 13:57:01
82,17,6,1490,1,0,0,2024-02-22 13:57:01
83,22,1,1491,1,0,0,2024-02-22 13:57:01
84,5,18,1492,0,0,0,2024-02-22 13:57:01
85,20,7,1493,1,0,0,2024-02-22 13:57:01
86,11,12,1494,2,0,0,2024-02-22 13:57:01
87,10,13,1495,2,0,0,2024-02-22 13:57:01
88,10,13,1496,2,0,0,2024-02-22 13:57:01
89,19,4,1497,1,0,0,2024-02-22 13:57:01
90,22,1,1498,1,0,0,2024-02-22 13:57:01
91,19,8,1499,1,0,0,2024-02-22 13:57:01
92,17,10,1500,2,0,0,2024-02-22 13:57:01
93,8,16,1501,2,0,0,2024-02-22 13:57:01
94,6,17,1502,0,0,0,2024-02-22 13:57:01
95,14,13,1503,2,0,0,2024-02-22 13:57:01
96,13,11,1504,2,0,0,2024-02-22 13:57:01
97,20,3,1505,1,0,0,2024-02-22 13:57:01
98,18,5,1506,1,0,0,2024-02-22 13:57:01
99,16,7,1507,2,0,0,2024-02-22 13:57:01
100,16,7,1508,2,0,0,2024-02-22 13:57:01
101,14,5,1510,1,0,0,2024-02-22 13:57:01
102,18,5,1511,1,0,0,2024-02-22 13:57:01
103,3,24,1512,0,0,0,2024-02-22 13:57:01
104,16,7,1513,2,0,0,2024-02-22 13:57:01
105,11,12,1514,2,0,0,2024-02-22 13:57:01
106,20,3,1515,1,0,0,2024-02-22 13:57:01
107,17,6,1516,1,0,0,2024-02-22 13:57:01
108,17,6,1517,1,0,0,2024-02-22 13:57:01
109,7,17,1518,0,0,0,2024-02-22 13:57:01
110,19,4,1519,1,0,0,2024-02-22 13:57:01
111,2,21,1520,0,0,0,2024-02-22 13:57:01
112,3,15,1521,0,0,0,2024-02-22 13:57:01
113,12,6,1522,2,0,0,2024-02-22 13:57:01
114,15,8,1523,2,0,0,2024-02-22 13:57:01
115,19,4,1524,1,0,0,2024-02-22 13:57:01
116,10,13,1525,2,0,0,2024-02-22 13:57:01
117,10,17,1526,2,0,0,2024-02-22 13:57:01
