,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,16,11,1406,2,0,0,2024-03-10 16:17:18
1,1,1,18,1407,0,0,0,2024-03-10 16:17:18
2,1,5,22,1409,0,0,0,2024-03-10 16:17:18
3,1,1,18,1410,0,0,0,2024-03-10 16:17:18
4,1,16,3,1411,1,0,0,2024-03-10 16:17:18
5,1,14,10,1412,2,0,0,2024-03-10 16:17:18
6,1,13,11,1413,2,0,0,2024-03-10 16:17:18
7,1,20,3,1414,1,0,0,2024-03-10 16:17:18
8,1,3,20,1415,0,0,0,2024-03-10 16:17:18
9,1,16,11,1416,2,0,0,2024-03-10 16:17:18
10,1,2,21,1417,0,0,0,2024-03-10 16:17:18
11,1,22,5,1418,1,0,0,2024-03-10 16:17:18
12,1,17,2,1419,1,0,0,2024-03-10 16:17:18
13,1,4,15,1420,0,0,0,2024-03-10 16:17:18
14,1,12,11,1421,2,0,0,2024-03-10 16:17:18
15,1,6,18,1422,0,0,0,2024-03-10 16:17:18
16,1,20,8,1423,1,0,0,2024-03-10 16:17:18
17,1,22,5,1424,1,0,0,2024-03-10 16:17:18
18,1,0,0,1425,3,1,0,2024-03-10 16:17:18
19,1,14,10,1426,2,0,0,2024-03-10 16:17:18
20,1,8,10,1427,2,0,0,2024-03-10 16:17:18
21,1,1,23,1428,0,0,0,2024-03-10 16:17:18
22,1,3,21,1429,0,0,0,2024-03-10 16:17:18
23,1,17,10,1430,2,0,0,2024-03-10 16:17:18
24,1,19,8,1431,1,0,0,2024-03-10 16:17:18
25,1,13,5,1432,1,0,0,2024-03-10 16:17:18
26,1,22,1,1433,1,0,0,2024-03-10 16:17:18
27,1,21,6,1434,1,0,0,2024-03-10 16:17:18
28,1,19,8,1435,1,0,0,2024-03-10 16:17:18
29,1,17,1,1436,1,0,0,2024-03-10 16:17:18
30,1,6,17,1437,0,0,0,2024-03-10 16:17:18
31,1,15,9,1438,2,0,0,2024-03-10 16:17:18
32,1,20,4,1439,1,0,0,2024-03-10 16:17:18
33,1,20,4,1440,1,0,0,2024-03-10 16:17:18
34,1,13,11,1441,2,0,0,2024-03-10 16:17:18
35,1,21,6,1442,1,0,0,2024-03-10 16:17:18
36,1,27,4,1443,1,0,0,2024-03-10 16:17:18
37,1,9,8,1444,2,0,0,2024-03-10 16:17:18
38,1,15,3,1445,1,0,0,2024-03-10 16:17:18
39,1,14,13,1446,2,0,0,2024-03-10 16:17:18
40,1,5,13,1447,0,0,0,2024-03-10 16:17:18
41,1,14,5,1448,1,0,0,2024-03-10 16:17:18
42,1,14,5,1449,1,0,0,2024-03-10 16:17:18
43,1,27,0,1450,1,0,0,2024-03-10 16:17:18
44,1,21,3,1451,1,0,0,2024-03-10 16:17:18
45,1,18,6,1452,1,0,0,2024-03-10 16:17:18
46,1,18,9,1453,2,0,0,2024-03-10 16:17:18
47,1,21,3,1454,1,0,0,2024-03-10 16:17:18
48,1,21,6,1455,1,0,0,2024-03-10 16:17:18
49,1,12,3,1456,1,0,0,2024-03-10 16:17:18
50,1,21,3,1457,1,0,0,2024-03-10 16:17:18
51,1,5,14,1458,0,0,0,2024-03-10 16:17:18
52,1,9,15,1459,2,0,0,2024-03-10 16:17:18
53,1,17,6,1460,1,0,0,2024-03-10 16:17:18
54,1,8,15,1461,2,0,0,2024-03-10 16:17:18
55,1,16,11,1462,2,0,0,2024-03-10 16:17:18
56,1,6,13,1463,0,0,0,2024-03-10 16:17:18
57,1,21,2,1464,1,0,0,2024-03-10 16:17:18
58,1,15,12,1465,2,0,0,2024-03-10 16:17:18
59,1,17,10,1466,2,0,0,2024-03-10 16:17:18
60,1,6,17,1467,0,0,0,2024-03-10 16:17:18
61,1,16,8,1468,2,0,0,2024-03-10 16:17:18
62,1,8,15,1469,2,0,0,2024-03-10 16:17:18
63,1,4,15,1470,0,0,0,2024-03-10 16:17:18
64,1,21,6,1471,1,0,0,2024-03-10 16:17:18
65,1,22,5,1472,1,0,0,2024-03-10 16:17:18
66,1,10,13,1473,2,0,0,2024-03-10 16:17:18
67,1,17,6,1474,1,0,0,2024-03-10 16:17:18
68,1,14,9,1475,2,0,0,2024-03-10 16:17:18
69,1,18,9,1476,2,0,0,2024-03-10 16:17:18
70,1,15,9,1478,2,0,0,2024-03-10 16:17:18
71,1,17,1,1479,1,0,0,2024-03-10 16:17:18
72,1,14,9,1480,2,0,0,2024-03-10 16:17:18
73,1,24,3,1481,1,0,0,2024-03-10 16:17:18
74,1,19,5,1484,1,0,0,2024-03-10 16:17:18
75,1,15,8,1485,2,0,0,2024-03-10 16:17:18
76,1,17,6,1486,1,0,0,2024-03-10 16:17:18
77,1,13,10,1487,2,0,0,2024-03-10 16:17:18
78,1,18,9,1488,2,0,0,2024-03-10 16:17:18
79,1,18,6,1489,1,0,0,2024-03-10 16:17:18
80,1,3,20,1490,0,0,0,2024-03-10 16:17:18
81,1,20,3,1491,1,0,0,2024-03-10 16:17:18
82,1,0,23,1492,0,0,0,2024-03-10 16:17:18
83,1,13,14,1493,2,0,0,2024-03-10 16:17:18
84,1,2,21,1494,0,0,0,2024-03-10 16:17:18
85,1,7,16,1495,0,0,0,2024-03-10 16:17:18
86,1,14,9,1496,2,0,0,2024-03-10 16:17:18
87,1,18,5,1497,1,0,0,2024-03-10 16:17:18
88,1,10,13,1498,2,0,0,2024-03-10 16:17:18
89,1,14,13,1499,2,0,0,2024-03-10 16:17:18
90,1,19,8,1500,1,0,0,2024-03-10 16:17:18
91,1,6,18,1501,0,0,0,2024-03-10 16:17:18
92,1,17,6,1502,1,0,0,2024-03-10 16:17:18
93,1,21,6,1503,1,0,0,2024-03-10 16:17:18
94,1,10,14,1504,2,0,0,2024-03-10 16:17:18
95,1,17,6,1505,1,0,0,2024-03-10 16:17:18
96,1,16,7,1506,2,0,0,2024-03-10 16:17:18
97,1,14,9,1507,2,0,0,2024-03-10 16:17:18
98,1,13,10,1508,2,0,0,2024-03-10 16:17:18
99,1,8,11,1510,2,0,0,2024-03-10 16:17:18
100,1,15,8,1511,2,0,0,2024-03-10 16:17:18
101,1,10,17,1512,2,0,0,2024-03-10 16:17:18
102,1,10,13,1513,2,0,0,2024-03-10 16:17:18
103,1,8,15,1514,2,0,0,2024-03-10 16:17:18
104,1,6,17,1515,0,0,0,2024-03-10 16:17:18
105,1,3,20,1516,0,0,0,2024-03-10 16:17:18
106,1,6,17,1517,0,0,0,2024-03-10 16:17:18
107,1,14,10,1518,2,0,0,2024-03-10 16:17:18
