,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,25,2,1406,1,0,0,2024-02-22 23:57:29
1,13,6,1407,2,0,0,2024-02-22 23:57:29
2,9,18,1408,2,0,0,2024-02-22 23:57:29
3,18,9,1409,2,0,0,2024-02-22 23:57:29
4,5,14,1410,0,0,0,2024-02-22 23:57:29
5,10,9,1411,2,0,0,2024-02-22 23:57:29
6,11,13,1412,2,0,0,2024-02-22 23:57:29
7,9,15,1413,2,0,0,2024-02-22 23:57:29
8,11,12,1414,2,0,0,2024-02-22 23:57:29
9,6,17,1415,0,0,0,2024-02-22 23:57:29
10,19,8,1416,1,0,0,2024-02-22 23:57:29
11,15,8,1417,2,0,0,2024-02-22 23:57:29
12,10,17,1418,2,0,0,2024-02-22 23:57:29
13,12,7,1419,2,0,0,2024-02-22 23:57:29
14,12,7,1420,2,0,0,2024-02-22 23:57:29
15,8,15,1421,2,0,0,2024-02-22 23:57:29
16,7,17,1422,0,0,0,2024-02-22 23:57:29
17,6,22,1423,0,0,0,2024-02-22 23:57:29
18,2,25,1424,0,0,0,2024-02-22 23:57:29
19,0,0,1425,3,1,0,2024-02-22 23:57:29
20,20,4,1426,1,0,0,2024-02-22 23:57:29
21,9,9,1427,2,0,0,2024-02-22 23:57:29
22,4,20,1428,0,0,0,2024-02-22 23:57:29
23,7,17,1429,0,0,0,2024-02-22 23:57:29
24,11,16,1430,2,0,0,2024-02-22 23:57:29
25,17,10,1431,2,0,0,2024-02-22 23:57:29
26,6,12,1432,2,0,0,2024-02-22 23:57:29
27,21,2,1433,1,0,0,2024-02-22 23:57:29
28,21,6,1434,1,0,0,2024-02-22 23:57:29
29,10,17,1435,2,0,0,2024-02-22 23:57:29
30,7,11,1436,2,0,0,2024-02-22 23:57:29
31,19,4,1437,1,0,0,2024-02-22 23:57:29
32,9,15,1438,2,0,0,2024-02-22 23:57:29
33,11,13,1439,2,0,0,2024-02-22 23:57:29
34,9,15,1440,2,0,0,2024-02-22 23:57:29
35,22,2,1441,1,0,0,2024-02-22 23:57:29
36,21,6,1442,1,0,0,2024-02-22 23:57:29
37,20,11,1443,2,0,0,2024-02-22 23:57:29
38,13,4,1444,1,0,0,2024-02-22 23:57:29
39,19,0,1445,1,0,0,2024-02-22 23:57:29
40,25,2,1446,1,0,0,2024-02-22 23:57:29
41,7,11,1447,2,0,0,2024-02-22 23:57:29
42,14,5,1448,1,0,0,2024-02-22 23:57:29
43,12,7,1449,2,0,0,2024-02-22 23:57:29
44,25,2,1450,1,0,0,2024-02-22 23:57:29
45,22,2,1451,1,0,0,2024-02-22 23:57:29
46,14,8,1452,2,0,0,2024-02-22 23:57:29
47,8,19,1453,0,0,0,2024-02-22 23:57:29
48,21,3,1454,1,0,0,2024-02-22 23:57:29
49,25,2,1455,1,0,0,2024-02-22 23:57:29
50,12,3,1456,1,0,0,2024-02-22 23:57:29
51,22,2,1457,1,0,0,2024-02-22 23:57:29
52,5,14,1458,0,0,0,2024-02-22 23:57:29
53,22,2,1459,1,0,0,2024-02-22 23:57:29
54,8,15,1460,2,0,0,2024-02-22 23:57:29
55,9,14,1461,2,0,0,2024-02-22 23:57:29
56,15,12,1462,2,0,0,2024-02-22 23:57:29
57,8,11,1463,2,0,0,2024-02-22 23:57:29
58,11,12,1464,2,0,0,2024-02-22 23:57:29
59,14,13,1465,2,0,0,2024-02-22 23:57:29
60,12,15,1466,2,0,0,2024-02-22 23:57:29
61,15,8,1467,2,0,0,2024-02-22 23:57:29
62,11,13,1468,2,0,0,2024-02-22 23:57:29
63,16,7,1469,2,0,0,2024-02-22 23:57:29
64,16,3,1470,1,0,0,2024-02-22 23:57:29
65,9,18,1471,2,0,0,2024-02-22 23:57:29
66,6,21,1472,0,0,0,2024-02-22 23:57:29
67,23,0,1473,1,0,0,2024-02-22 23:57:29
68,15,8,1474,2,0,0,2024-02-22 23:57:29
69,21,2,1475,1,0,0,2024-02-22 23:57:29
70,12,15,1476,2,0,0,2024-02-22 23:57:29
71,11,16,1477,2,0,0,2024-02-22 23:57:29
72,12,12,1478,2,0,0,2024-02-22 23:57:29
73,17,1,1479,1,0,0,2024-02-22 23:57:29
74,17,6,1480,1,0,0,2024-02-22 23:57:29
75,15,12,1481,2,0,0,2024-02-22 23:57:29
76,12,12,1484,2,0,0,2024-02-22 23:57:29
77,9,14,1485,2,0,0,2024-02-22 23:57:29
78,7,16,1486,0,0,0,2024-02-22 23:57:29
79,22,1,1487,1,0,0,2024-02-22 23:57:29
