,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,8,19,1406,0,0,0,2024-02-21 11:50:43
1,11,8,1407,2,0,0,2024-02-21 11:50:43
2,8,19,1408,0,0,0,2024-02-21 11:50:43
3,18,9,1409,2,0,0,2024-02-21 11:50:43
4,3,16,1410,0,0,0,2024-02-21 11:50:43
5,16,3,1411,1,0,0,2024-02-21 11:50:43
6,24,0,1412,1,0,0,2024-02-21 11:50:43
7,5,19,1413,0,0,0,2024-02-21 11:50:43
8,20,3,1414,1,0,0,2024-02-21 11:50:43
9,2,21,1415,0,0,0,2024-02-21 11:50:43
10,15,12,1416,2,0,0,2024-02-21 11:50:43
11,13,10,1417,2,0,0,2024-02-21 11:50:43
12,15,12,1418,2,0,0,2024-02-21 11:50:43
13,7,12,1419,2,0,0,2024-02-21 11:50:43
14,19,0,1420,1,0,0,2024-02-21 11:50:43
15,1,22,1421,0,0,0,2024-02-21 11:50:43
16,23,1,1422,1,0,0,2024-02-21 11:50:43
17,27,1,1423,1,0,0,2024-02-21 11:50:43
18,25,2,1424,1,0,0,2024-02-21 11:50:43
19,0,0,1425,3,1,0,2024-02-21 11:50:43
20,18,6,1426,1,0,0,2024-02-21 11:50:43
21,15,3,1427,1,0,0,2024-02-21 11:50:43
22,5,19,1428,0,0,0,2024-02-21 11:50:43
23,5,19,1429,0,0,0,2024-02-21 11:50:43
24,13,14,1430,2,0,0,2024-02-21 11:50:43
25,24,3,1431,1,0,0,2024-02-21 11:50:43
26,18,0,1432,1,0,0,2024-02-21 11:50:43
27,18,5,1433,1,0,0,2024-02-21 11:50:43
28,27,0,1434,1,0,0,2024-02-21 11:50:43
29,12,15,1435,2,0,0,2024-02-21 11:50:43
30,0,0,1436,3,1,0,2024-02-21 11:50:43
31,14,9,1437,2,0,0,2024-02-21 11:50:43
32,6,18,1438,0,0,0,2024-02-21 11:50:43
33,24,0,1439,1,0,0,2024-02-21 11:50:43
34,11,13,1440,2,0,0,2024-02-21 11:50:43
35,16,8,1441,2,0,0,2024-02-21 11:50:43
36,4,23,1442,0,0,0,2024-02-21 11:50:43
37,4,27,1443,0,0,0,2024-02-21 11:50:43
38,6,12,1444,2,0,0,2024-02-21 11:50:43
39,5,14,1445,0,0,0,2024-02-21 11:50:43
40,5,22,1446,0,0,0,2024-02-21 11:50:43
41,0,18,1447,0,0,0,2024-02-21 11:50:43
42,1,18,1448,0,0,0,2024-02-21 11:50:43
43,4,15,1449,0,0,0,2024-02-21 11:50:43
44,26,1,1450,1,0,0,2024-02-21 11:50:43
45,7,17,1451,0,0,0,2024-02-21 11:50:43
46,9,15,1452,2,0,0,2024-02-21 11:50:43
47,18,9,1453,2,0,0,2024-02-21 11:50:43
48,3,21,1454,0,0,0,2024-02-21 11:50:43
49,21,6,1455,1,0,0,2024-02-21 11:50:43
50,9,6,1456,2,0,0,2024-02-21 11:50:43
51,3,21,1457,0,0,0,2024-02-21 11:50:43
52,11,8,1458,2,0,0,2024-02-21 11:50:43
53,5,19,1459,0,0,0,2024-02-21 11:50:43
54,11,12,1460,2,0,0,2024-02-21 11:50:43
55,19,4,1461,1,0,0,2024-02-21 11:50:43
56,27,0,1462,1,0,0,2024-02-21 11:50:43
57,8,11,1463,2,0,0,2024-02-21 11:50:43
58,23,0,1464,1,0,0,2024-02-21 11:50:43
59,17,10,1465,2,0,0,2024-02-21 11:50:43
60,26,1,1466,1,0,0,2024-02-21 11:50:43
61,8,15,1467,2,0,0,2024-02-21 11:50:43
62,21,3,1468,1,0,0,2024-02-21 11:50:43
63,22,1,1469,1,0,0,2024-02-21 11:50:43
64,14,5,1470,1,0,0,2024-02-21 11:50:43
65,24,3,1471,1,0,0,2024-02-21 11:50:43
66,3,24,1472,0,0,0,2024-02-21 11:50:43
67,4,19,1473,0,0,0,2024-02-21 11:50:43
68,10,13,1474,2,0,0,2024-02-21 11:50:43
69,2,21,1475,0,0,0,2024-02-21 11:50:43
70,10,17,1476,2,0,0,2024-02-21 11:50:43
71,2,25,1477,0,0,0,2024-02-21 11:50:43
72,12,12,1478,2,0,0,2024-02-21 11:50:43
73,13,5,1479,1,0,0,2024-02-21 11:50:43
74,4,19,1480,0,0,0,2024-02-21 11:50:43
75,5,22,1481,0,0,0,2024-02-21 11:50:43
76,15,9,1484,2,0,0,2024-02-21 11:50:43
77,8,15,1485,2,0,0,2024-02-21 11:50:43
78,5,18,1486,0,0,0,2024-02-21 11:50:43
79,6,17,1487,0,0,0,2024-02-21 11:50:43
80,18,9,1488,2,0,0,2024-02-21 11:50:43
81,21,3,1489,1,0,0,2024-02-21 11:50:43
82,22,1,1490,1,0,0,2024-02-21 11:50:43
83,19,4,1491,1,0,0,2024-02-21 11:50:43
84,17,6,1492,1,0,0,2024-02-21 11:50:43
85,25,2,1493,1,0,0,2024-02-21 11:50:43
86,8,15,1494,2,0,0,2024-02-21 11:50:43
87,15,8,1495,2,0,0,2024-02-21 11:50:43
88,14,9,1496,2,0,0,2024-02-21 11:50:43
89,23,0,1497,1,0,0,2024-02-21 11:50:43
90,19,4,1498,1,0,0,2024-02-21 11:50:43
91,18,9,1499,2,0,0,2024-02-21 11:50:43
92,10,17,1500,2,0,0,2024-02-21 11:50:43
93,24,0,1501,1,0,0,2024-02-21 11:50:43
94,9,14,1502,2,0,0,2024-02-21 11:50:43
95,6,21,1503,0,0,0,2024-02-21 11:50:43
96,13,11,1504,2,0,0,2024-02-21 11:50:43
97,23,0,1505,1,0,0,2024-02-21 11:50:43
98,23,0,1506,1,0,0,2024-02-21 11:50:43
99,23,0,1507,1,0,0,2024-02-21 11:50:43
100,23,0,1508,1,0,0,2024-02-21 11:50:43
101,18,1,1510,1,0,0,2024-02-21 11:50:43
102,21,2,1511,1,0,0,2024-02-21 11:50:43
103,5,22,1512,0,0,0,2024-02-21 11:50:43
104,22,1,1513,1,0,0,2024-02-21 11:50:43
105,5,18,1514,0,0,0,2024-02-21 11:50:43
106,16,7,1515,2,0,0,2024-02-21 11:50:43
107,15,8,1516,2,0,0,2024-02-21 11:50:43
108,8,15,1517,2,0,0,2024-02-21 11:50:43
109,21,3,1518,1,0,0,2024-02-21 11:50:43
110,19,4,1519,1,0,0,2024-02-21 11:50:43
111,11,12,1520,2,0,0,2024-02-21 11:50:43
112,16,2,1521,1,0,0,2024-02-21 11:50:43
113,10,8,1522,2,0,0,2024-02-21 11:50:43
114,20,3,1523,1,0,0,2024-02-21 11:50:43
115,23,0,1524,1,0,0,2024-02-21 11:50:43
116,16,7,1525,2,0,0,2024-02-21 11:50:43
117,24,3,1526,1,0,0,2024-02-21 11:50:43
118,6,21,1527,0,0,0,2024-02-21 11:50:43
119,16,7,1528,2,0,0,2024-02-21 11:50:43
120,18,9,1529,2,0,0,2024-02-21 11:50:43
121,8,19,1530,0,0,0,2024-02-21 11:50:43
122,13,14,1531,2,0,0,2024-02-21 11:50:43
123,24,3,1532,1,0,0,2024-02-21 11:50:43
124,5,22,1533,0,0,0,2024-02-21 11:50:43
125,7,20,1534,0,0,0,2024-02-21 11:50:43
126,8,19,1535,0,0,0,2024-02-21 11:50:43
127,8,15,1536,2,0,0,2024-02-21 11:50:43
128,7,16,1537,0,0,0,2024-02-21 11:50:43
129,21,6,1538,1,0,0,2024-02-21 11:50:43
130,4,20,1539,0,0,0,2024-02-21 11:50:43
131,6,17,1540,0,0,0,2024-02-21 11:50:43
132,13,10,1541,2,0,0,2024-02-21 11:50:43
133,13,10,1542,2,0,0,2024-02-21 11:50:43
134,13,11,1543,2,0,0,2024-02-21 11:50:43
135,20,3,1544,1,0,0,2024-02-21 11:50:43
136,19,5,1545,1,0,0,2024-02-21 11:50:43
137,26,1,1546,1,0,0,2024-02-21 11:50:43
138,10,2,1547,1,0,0,2024-02-21 11:50:43
139,23,0,1548,1,0,0,2024-02-21 11:50:43
140,6,17,1549,0,0,0,2024-02-21 11:50:43
141,13,13,1550,2,0,0,2024-02-21 11:50:43
142,15,8,1551,2,0,0,2024-02-21 11:50:43
143,18,1,1552,1,0,0,2024-02-21 11:50:43
144,5,18,1553,0,0,0,2024-02-21 11:50:43
145,9,14,1554,2,0,0,2024-02-21 11:50:43
146,14,9,1555,2,0,0,2024-02-21 11:50:43
147,27,0,1557,1,0,0,2024-02-21 11:50:43
148,4,19,1558,0,0,0,2024-02-21 11:50:43
149,17,6,1559,1,0,0,2024-02-21 11:50:43
150,16,8,1560,2,0,0,2024-02-21 11:50:43
151,2,21,1561,0,0,0,2024-02-21 11:50:43
152,19,5,1562,1,0,0,2024-02-21 11:50:43
153,8,15,1564,2,0,0,2024-02-21 11:50:43
154,10,13,1565,2,0,0,2024-02-21 11:50:43
155,9,15,1566,2,0,0,2024-02-21 11:50:43
156,8,16,2152,2,0,0,2024-02-21 11:50:43
157,7,11,2153,2,0,0,2024-02-21 11:50:43
158,1,23,2154,0,0,0,2024-02-21 11:50:43
159,20,4,2155,1,0,0,2024-02-21 11:50:43
160,7,17,2156,0,0,0,2024-02-21 11:50:43
161,2,22,2157,0,0,0,2024-02-21 11:50:43
162,14,10,2158,2,0,0,2024-02-21 11:50:43
163,12,12,2159,2,0,0,2024-02-21 11:50:43
164,10,14,2160,2,0,0,2024-02-21 11:50:43
165,9,15,2161,2,0,0,2024-02-21 11:50:43
166,6,18,2162,0,0,0,2024-02-21 11:50:43
167,11,13,2163,2,0,0,2024-02-21 11:50:43
168,4,20,2164,0,0,0,2024-02-21 11:50:43
169,10,14,2165,2,0,0,2024-02-21 11:50:43
170,15,9,2166,2,0,0,2024-02-21 11:50:43
171,13,4,2167,1,0,0,2024-02-21 11:50:43
172,12,6,2168,2,0,0,2024-02-21 11:50:43
173,2,22,2169,0,0,0,2024-02-21 11:50:43
174,2,21,2170,0,0,0,2024-02-21 11:50:43
175,11,16,2171,2,0,0,2024-02-21 11:50:43
176,13,14,2172,2,0,0,2024-02-21 11:50:43
177,14,9,2173,2,0,0,2024-02-21 11:50:43
178,10,13,2174,2,0,0,2024-02-21 11:50:43
179,9,18,2175,2,0,0,2024-02-21 11:50:43
180,10,17,2176,2,0,0,2024-02-21 11:50:43
181,4,19,2177,0,0,0,2024-02-21 11:50:43
182,10,9,2178,2,0,0,2024-02-21 11:50:43
183,7,20,2179,0,0,0,2024-02-21 11:50:43
184,3,21,2180,0,0,0,2024-02-21 11:50:43
185,10,14,2182,2,0,0,2024-02-21 11:50:43
186,21,3,2183,1,0,0,2024-02-21 11:50:43
187,1,23,2184,0,0,0,2024-02-21 11:50:43
188,18,5,2185,1,0,0,2024-02-21 11:50:43
189,19,8,2186,1,0,0,2024-02-21 11:50:43
190,9,18,2187,2,0,0,2024-02-21 11:50:43
191,9,18,2188,2,0,0,2024-02-21 11:50:43
192,8,15,2189,2,0,0,2024-02-21 11:50:43
193,15,12,2190,2,0,0,2024-02-21 11:50:43
194,3,24,2191,0,0,0,2024-02-21 11:50:43
195,9,13,2205,2,0,0,2024-02-21 11:50:43
196,15,8,2207,2,0,0,2024-02-21 11:50:43
197,6,17,2214,0,0,0,2024-02-21 11:50:43
198,23,0,2224,1,0,0,2024-02-21 11:50:43
199,13,10,2225,2,0,0,2024-02-21 11:50:43
200,10,14,2226,2,0,0,2024-02-21 11:50:43
201,15,8,2233,2,0,0,2024-02-21 11:50:43
202,5,18,2234,0,0,0,2024-02-21 11:50:43
203,14,9,2235,2,0,0,2024-02-21 11:50:43
204,7,16,2236,0,0,0,2024-02-21 11:50:43
205,21,2,2237,1,0,0,2024-02-21 11:50:43
206,10,13,2238,2,0,0,2024-02-21 11:50:43
207,26,1,2239,1,0,0,2024-02-21 11:50:43
208,12,11,2240,2,0,0,2024-02-21 11:50:43
209,6,21,2241,0,0,0,2024-02-21 11:50:43
210,12,10,2243,2,0,0,2024-02-21 11:50:43
211,23,3,2244,1,0,0,2024-02-21 11:50:43
212,7,16,2245,0,0,0,2024-02-21 11:50:43
213,9,14,2246,2,0,0,2024-02-21 11:50:43
214,20,3,2247,1,0,0,2024-02-21 11:50:43
215,11,12,2248,2,0,0,2024-02-21 11:50:43
216,14,9,2249,2,0,0,2024-02-21 11:50:43
217,18,5,2250,1,0,0,2024-02-21 11:50:43
218,20,3,2251,1,0,0,2024-02-21 11:50:43
219,18,6,2252,1,0,0,2024-02-21 11:50:43
220,5,19,2254,0,0,0,2024-02-21 11:50:43
221,17,7,2255,1,0,0,2024-02-21 11:50:43
222,8,16,2256,2,0,0,2024-02-21 11:50:43
223,3,21,2257,0,0,0,2024-02-21 11:50:43
224,9,15,2258,2,0,0,2024-02-21 11:50:43
225,12,12,2259,2,0,0,2024-02-21 11:50:43
226,20,4,2260,1,0,0,2024-02-21 11:50:43
227,7,17,2261,0,0,0,2024-02-21 11:50:43
228,13,11,2262,2,0,0,2024-02-21 11:50:43
229,6,12,2263,2,0,0,2024-02-21 11:50:43
230,8,10,2264,2,0,0,2024-02-21 11:50:43
231,19,5,2265,1,0,0,2024-02-21 11:50:43
232,16,7,2266,2,0,0,2024-02-21 11:50:43
233,5,18,2267,0,0,0,2024-02-21 11:50:43
234,17,6,2268,1,0,0,2024-02-21 11:50:43
235,13,10,2269,2,0,0,2024-02-21 11:50:43
236,6,18,2270,0,0,0,2024-02-21 11:50:43
237,12,12,2271,2,0,0,2024-02-21 11:50:43
238,9,15,2272,2,0,0,2024-02-21 11:50:43
239,0,24,2273,0,0,0,2024-02-21 11:50:43
240,13,10,2274,2,0,0,2024-02-21 11:50:43
241,25,2,2275,1,0,0,2024-02-21 11:50:43
242,10,17,2276,2,0,0,2024-02-21 11:50:43
243,11,13,2278,2,0,0,2024-02-21 11:50:43
244,7,17,2279,0,0,0,2024-02-21 11:50:43
245,10,14,2280,2,0,0,2024-02-21 11:50:43
246,7,16,2281,0,0,0,2024-02-21 11:50:43
247,20,4,2282,1,0,0,2024-02-21 11:50:43
