,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,20,7,1406,1,0,0,2024-02-22 18:57:13
1,14,5,1407,1,0,0,2024-02-22 18:57:13
2,10,17,1408,2,0,0,2024-02-22 18:57:13
3,13,14,1409,2,0,0,2024-02-22 18:57:13
4,2,17,1410,0,0,0,2024-02-22 18:57:13
5,6,13,1411,0,0,0,2024-02-22 18:57:13
6,12,12,1412,2,0,0,2024-02-22 18:57:13
7,9,15,1413,2,0,0,2024-02-22 18:57:13
8,10,13,1414,2,0,0,2024-02-22 18:57:13
9,7,16,1415,0,0,0,2024-02-22 18:57:13
10,1,26,1416,0,0,0,2024-02-22 18:57:13
11,13,10,1417,2,0,0,2024-02-22 18:57:13
12,13,14,1418,2,0,0,2024-02-22 18:57:13
13,3,16,1419,0,0,0,2024-02-22 18:57:13
14,13,6,1420,2,0,0,2024-02-22 18:57:13
15,3,20,1421,0,0,0,2024-02-22 18:57:13
16,4,20,1422,0,0,0,2024-02-22 18:57:13
17,10,18,1423,2,0,0,2024-02-22 18:57:13
18,11,16,1424,2,0,0,2024-02-22 18:57:13
19,0,0,1425,3,1,0,2024-02-22 18:57:13
20,6,18,1426,0,0,0,2024-02-22 18:57:13
21,11,7,1427,2,0,0,2024-02-22 18:57:13
22,4,20,1428,0,0,0,2024-02-22 18:57:13
23,7,17,1429,0,0,0,2024-02-22 18:57:13
24,11,16,1430,2,0,0,2024-02-22 18:57:13
25,14,13,1431,2,0,0,2024-02-22 18:57:13
26,5,13,1432,0,0,0,2024-02-22 18:57:13
27,18,5,1433,1,0,0,2024-02-22 18:57:13
28,20,7,1434,1,0,0,2024-02-22 18:57:13
29,9,18,1435,2,0,0,2024-02-22 18:57:13
30,10,8,1436,2,0,0,2024-02-22 18:57:13
31,18,5,1437,1,0,0,2024-02-22 18:57:13
32,17,7,1438,1,0,0,2024-02-22 18:57:13
33,12,12,1439,2,0,0,2024-02-22 18:57:13
34,12,12,1440,2,0,0,2024-02-22 18:57:13
35,18,6,1441,1,0,0,2024-02-22 18:57:13
36,10,17,1442,2,0,0,2024-02-22 18:57:13
37,13,18,1443,2,0,0,2024-02-22 18:57:13
38,8,9,1444,2,0,0,2024-02-22 18:57:13
39,8,11,1445,2,0,0,2024-02-22 18:57:13
40,7,20,1446,0,0,0,2024-02-22 18:57:13
41,5,13,1447,0,0,0,2024-02-22 18:57:13
42,13,6,1448,2,0,0,2024-02-22 18:57:13
43,14,5,1449,1,0,0,2024-02-22 18:57:13
44,27,0,1450,1,0,0,2024-02-22 18:57:13
45,23,1,1451,1,0,0,2024-02-22 18:57:13
46,14,9,1452,2,0,0,2024-02-22 18:57:13
47,11,16,1453,2,0,0,2024-02-22 18:57:13
48,17,7,1454,1,0,0,2024-02-22 18:57:13
49,26,1,1455,1,0,0,2024-02-22 18:57:13
50,6,9,1456,2,0,0,2024-02-22 18:57:13
51,20,4,1457,1,0,0,2024-02-22 18:57:13
