,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
0,"Calle María de las Mercedes de Borbón, 214,",16,166,10,13,2365,2,"262 - María de las Mercedes de Borbón, 214",0,262,0,23,2024-02-13 21:56:47,-3.620114,40.4928683,"(-3.620114, 40.4928683)"
1,"Calle María de las Mercedes de Borbón, 98,",16,166,8,15,2366,2,"611 - María de las Mercedes de Borbón, 98",0,611,0,23,2024-02-13 21:56:47,-3.6121068531215528,40.490908297996654,"(-3.6121068531215528, 40.490908297996654)"
2,"237- calle Francisco Balseiro,Comunidad de Madrid España",06,061,8,16,2362,2,237 -  calle Francisco Balseiro,0,237,0,24,2024-02-13 21:56:47,-3.7102736,40.4516819,"(-3.7102736, 40.4516819)"
3,"para borrar,",16,166,0,0,1404,3,0 - para borrar,1,0,0,0,2024-02-13 21:56:47,-3.62018,40.49291,"(-3.62018, 40.49291)"
4,"Calle Miguel Moya nº 1,",01,015,19,8,1406,1,2 - Miguel Moya,0,2,0,27,2024-02-13 21:56:47,-3.70569,40.4204,"(-3.70569, 40.4204)"
5,"Plaza del Conde del Valle de Súchil nº 3,",07,072,8,11,1407,2,3 - Plaza Conde Suchil,0,3,0,19,2024-02-13 21:56:47,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
6,"Calle Manuela Malasaña nº 5,",01,015,9,18,1408,0,4 - Malasaña,0,4,0,26,2024-02-13 21:56:47,-3.7025,40.4286259,"(-3.7025, 40.4286259)"
7,"C. de Castiello de Jaca, 14,",08,086,15,8,2352,2,"603 - C. de Castiello de Jaca, 14",0,603,0,23,2024-02-13 21:56:47,-3.6782027,40.5091982,"(-3.6782027, 40.5091982)"
8,"Bardegueral 15,Comunidad de Madrid España",09,097,12,11,2360,2,610 - Bardegueral,0,610,0,23,2024-02-13 21:56:47,-3.7719097,40.4501721,"(-3.7719097, 40.4501721)"
9,"Calle Fuencarral nº 108,",01,014,10,17,1409,2,5 - Fuencarral,0,5,0,27,2024-02-13 21:56:47,-3.7021354,40.4285212,"(-3.7021354, 40.4285212)"
10,"Calle Hortaleza nº 63,",01,014,18,1,1410,1,6 - Colegio Arquitectos,0,6,0,19,2024-02-13 21:56:47,-3.698447,40.424148,"(-3.698447, 40.424148)"
11,"Calle Hortaleza nº 75,",01,014,9,10,1411,2,7 - Hortaleza,0,7,0,19,2024-02-13 21:56:47,-3.6977715,40.4251906,"(-3.6977715, 40.4251906)"
