,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
0,"Calle María de las Mercedes de Borbón, 214,",16,166,5,18,2365,0,"262 - María de las Mercedes de Borbón, 214",0,262,0,23,2024-02-16 14:34:09,-3.620114,40.4928683,"(-3.620114, 40.4928683)"
1,"Calle María de las Mercedes de Borbón, 98,",16,166,5,18,2366,0,"611 - María de las Mercedes de Borbón, 98",0,611,0,23,2024-02-16 14:34:09,-3.6121068531215528,40.490908297996654,"(-3.6121068531215528, 40.490908297996654)"
2,"237- calle Francisco Balseiro,Comunidad de Madrid España",06,061,18,6,2362,1,237 -  calle Francisco Balseiro,0,237,0,24,2024-02-16 14:34:09,-3.7102736,40.4516819,"(-3.7102736, 40.4516819)"
3,"para borrar,",16,166,0,0,1404,3,0 - para borrar,1,0,0,0,2024-02-16 14:34:09,-3.62018,40.49291,"(-3.62018, 40.49291)"
4,"Calle Miguel Moya nº 1,",01,015,14,13,1406,2,2 - Metro Callao,0,2,0,27,2024-02-16 14:34:09,-3.70569,40.4204,"(-3.70569, 40.4204)"
5,"Plaza del Conde del Valle de Súchil nº 4,",07,072,13,6,1407,2,3 - Plaza Conde Suchil,0,3,0,19,2024-02-16 14:34:09,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
6,"Calle Manuela Malasaña nº 3,",01,015,11,16,1408,2,4 - Malasaña,0,4,0,27,2024-02-16 14:34:09,-3.7025,40.4286259,"(-3.7025, 40.4286259)"
7,"C. de Castiello de Jaca, 14,",08,086,8,15,2352,2,"603 - C. de Castiello de Jaca, 14",0,603,0,23,2024-02-16 14:34:09,-3.6782027,40.5091982,"(-3.6782027, 40.5091982)"
8,"Bardegueral 15,Comunidad de Madrid España",09,097,10,13,2360,2,610 - Bardegueral,0,610,0,23,2024-02-16 14:34:09,-3.7719097,40.4501721,"(-3.7719097, 40.4501721)"
9,"Calle Fuencarral nº 106,",01,014,10,17,1409,2,5 - Fuencarral,0,5,0,27,2024-02-16 14:34:09,-3.7021354,40.4285212,"(-3.7021354, 40.4285212)"
10,"Calle Hortaleza nº 63,",01,014,16,3,1410,1,6 - Colegio Arquitectos,0,6,0,19,2024-02-16 14:34:09,-3.698447,40.424148,"(-3.698447, 40.424148)"
11,"Calle Hortaleza nº 75,",01,014,12,7,1411,2,7 - Hortaleza,0,7,0,19,2024-02-16 14:34:09,-3.6977715,40.4251906,"(-3.6977715, 40.4251906)"
12,"Plaza de Alonso Martínez nº 6,",07,074,16,8,1412,2,8 - Alonso Martínez,0,8,0,24,2024-02-16 14:34:09,-3.6954403,40.4278682,"(-3.6954403, 40.4278682)"
13,"Plaza de San Miguel nº 10,",01,011,4,20,1413,0,9 - Plaza de San Miguel,0,9,0,24,2024-02-16 14:34:09,-3.7095084,40.4156057,"(-3.7095084, 40.4156057)"
14,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",01,014,10,13,1414,2,10 - Marqués de la Ensenada,0,10,0,23,2024-02-16 14:34:09,-3.692104,40.425403,"(-3.692104, 40.425403)"
15,"Calle San Andrés nº 18 - 20,",01,015,1,22,1415,0,11 - Plaza del Dos de Mayo,0,11,0,23,2024-02-16 14:34:09,-3.7036,40.427,"(-3.7036, 40.427)"
16,"Calle San Bernardo nº 85 - 87,",01,015,17,10,1416,2,12 - San Hermenegildo,0,12,0,27,2024-02-16 14:34:09,-3.7061406,40.4284667,"(-3.7061406, 40.4284667)"
17,"Avda del Ensanche de Vallecas, 80,",18,183,9,18,2340,2,"448 - Avda del Ensanche de Vallecas, 80",0,448,0,27,2024-02-16 14:34:09,-3.599352,40.363376,"(-3.599352, 40.363376)"
18,"Calle de los Pinillas, 19,",19,192,19,8,2341,1,"472 - Calle de los Pinillas, 19",0,472,0,27,2024-02-16 14:34:09,-3.6211485,40.3987974,"(-3.6211485, 40.3987974)"
19,"473 - Calle de Vilablanca, frente  85,",19,191,23,4,2342,1,"473 - Calle de Villablanca, frente  85",0,473,0,27,2024-02-16 14:34:09,-3.59888007,40.40500033,"(-3.59888007, 40.40500033)"
20,"Calle San Cipriano, 124,",19,193,11,16,2343,2,"474 - Calle San Cipriano, 124",0,474,0,27,2024-02-16 14:34:09,-3.596875,40.402255,"(-3.596875, 40.402255)"
21,"541- Avda. Gran Vía de Hortaleza, 68,",16,163,10,13,2347,2,"541 - Avda. Gran Vía de Hortaleza, 68",0,541,0,23,2024-02-16 14:34:09,-3.6468591,40.4682706,"(-3.6468591, 40.4682706)"
22,"546 - Calle Andorra, 6,",16,163,8,15,2348,2,"546 - Calle Andorra, 6",0,546,0,23,2024-02-16 14:34:09,-3.6467519,40.4628976,"(-3.6467519, 40.4628976)"
23,"550 - Calle del Príncipe Carlos, 54,",16,166,10,13,2349,2,"550 - Calle del Príncipe Carlos, 54",0,550,0,23,2024-02-16 14:34:09,-3.656674,40.4941108,"(-3.656674, 40.4941108)"
24,"553 - Calle de María de Portugal, 24,",16,166,11,12,2350,2,"553 - Calle de María de Portugal, 24",0,553,0,23,2024-02-16 14:34:09,-3.658921,40.499909,"(-3.658921, 40.499909)"
25,"601 -  Estación  Cerc. Fuencarral-El Pardo, ,",08,086,12,11,2351,2,"601 -  Estación  Cerc. Fuencarral-El Pardo, ",0,601,0,23,2024-02-16 14:34:09,-3.6824687,40.5015588,"(-3.6824687, 40.5015588)"
26,"Paseo de las Yeserías, 15,",02,022,8,15,2333,2,"276 - Paseo de las Yeserías, 15",0,276,0,23,2024-02-16 14:34:09,-3.7099166,40.39900539,"(-3.7099166, 40.39900539)"
27,"340 - Calle Illescas, 1C,",10,104,25,2,2334,1,"340 - Calle Illescas, 1C",0,340,0,27,2024-02-16 14:34:09,-3.7656976,40.3970983,"(-3.7656976, 40.3970983)"
28,"Calle Osa de la Vega, 25-103,",10,107,2,21,2335,0,"342 - Calle Osa de la Vega, 25-103",0,342,0,23,2024-02-16 14:34:09,-3.773381,40.374979,"(-3.773381, 40.374979)"
29,"381 - Alfredo Aleix, 7,",11,116,10,14,2337,2,"381 - Alfredo Aleix, 7",0,381,0,24,2024-02-16 14:34:09,-3.7553916,40.3684767,"(-3.7553916, 40.3684767)"
30,"444 - Calle de Valderrobollo, 18,",18,183,7,15,2339,2,"444 - Calle de Valderrebollo, 18",0,444,0,23,2024-02-16 14:34:09,-3.6276352,40.3743481,"(-3.6276352, 40.3743481)"
31,"Calle Conde Duque nº 22,",01,015,14,9,1417,2,13 - Conde Duque,0,13,0,23,2024-02-16 14:34:09,-3.7105,40.4273,"(-3.7105, 40.4273)"
32,"Ventura Rodríguez, 3,",09,092,10,17,1418,2,14 - Ventura Rodríguez,0,14,0,27,2024-02-16 14:34:09,-3.7133069,40.4260425,"(-3.7133069, 40.4260425)"
33,"Calle norte nº 10,",01,015,4,15,1419,0,15 - Norte,0,15,0,19,2024-02-16 14:34:09,-3.7074453,40.4262383,"(-3.7074453, 40.4262383)"
34,"Calle San Bernardo nº 22,",01,015,10,9,1420,2,16 - San Bernardo,0,16,0,19,2024-02-16 14:34:09,-3.7074808485065,40.4229374,"(-3.7074808485065, 40.4229374)"
35,"Plaza de Carlos Cambronero nº 2,",01,015,5,18,1421,0,17 - Plaza de Carlos Cambronero,0,17,0,23,2024-02-16 14:34:09,-3.704166,40.423126,"(-3.704166, 40.423126)"
36,"Plaza de Pedro Zerolo nº 20,",01,014,2,22,1422,0,18 - Plaza de Pedro Zerolo,0,18,0,24,2024-02-16 14:34:09,-3.6996776,40.4209251,"(-3.6996776, 40.4209251)"
37,"Calle Prim nº 4,",01,014,18,10,1423,2,"19 - Calle Prim, 2",0,19,0,28,2024-02-16 14:34:09,-3.6954983,40.4218616,"(-3.6954983, 40.4218616)"
38,"Calle Alcalá nº 49,",01,013,19,8,1424,1,20a - Banco de España A,0,20a,0,27,2024-02-16 14:34:09,-3.6952465,40.4188076,"(-3.6952465, 40.4188076)"
39,"Calle Jacometrezo nº 3,",01,016,0,0,1425,3,22 - Jacometrezo,1,22,0,3,2024-02-16 14:34:09,-3.7065376,40.4200783,"(-3.7065376, 40.4200783)"
40,"Plaza de Santo Domingo nº 1,",01,011,3,21,1426,0,23 - Santo Domingo,0,23,0,24,2024-02-16 14:34:09,-3.708249,40.4202595,"(-3.708249, 40.4202595)"
41,"Calle Carlos III nº 1,",01,011,8,10,1427,2,24 - Palacio de Oriente,0,24,0,18,2024-02-16 14:34:09,-3.7106495,40.417767,"(-3.7106495, 40.417767)"
42,"Plaza de Celenque nº 1,",01,016,11,13,1428,2,25a - Plaza de Celenque A,0,25a,0,24,2024-02-16 14:34:09,-3.7057791,40.4173703,"(-3.7057791, 40.4173703)"
43,"Plaza de Celenque nº 1,",01,016,15,9,1429,2,25b - Plaza de Celenque B,0,25b,0,24,2024-02-16 14:34:09,-3.7058976,40.4173687,"(-3.7058976, 40.4173687)"
44,"Plaza de las Salesas nº 7,",01,014,27,0,1430,1,26 - Plaza de las Salesas,0,26,0,27,2024-02-16 14:34:09,-3.6945,40.4239,"(-3.6945, 40.4239)"
45,"Calle Jesús nº 6,",01,013,15,12,1431,2,27 - Huertas,0,27,0,27,2024-02-16 14:34:09,-3.6957,40.4133,"(-3.6957, 40.4133)"
46,"Calle Alcalá nº 28,",01,013,12,6,1432,2,28 - Metro Sevilla,0,28,0,18,2024-02-16 14:34:09,-3.6984583,40.41806,"(-3.6984583, 40.41806)"
47,"Calle del Marqués de Cubas nº 25,",01,013,9,14,1433,2,29 - Marqués de Cubas,0,29,0,23,2024-02-16 14:34:09,-3.6957434,40.4163838,"(-3.6957434, 40.4163838)"
48,"Calle Pavía nº 4,",01,011,23,4,1434,1,30 - San Quintín,0,30,0,27,2024-02-16 14:34:09,-3.711504,40.4192095,"(-3.711504, 40.4192095)"
49,"Calle Mayor nº 16,",01,016,4,23,1435,0,31 - Calle Mayor,0,31,0,27,2024-02-16 14:34:09,-3.7068969,40.4163638,"(-3.7068969, 40.4163638)"
50,"Plaza de la Provincia (esquina calle Gerona),",01,016,17,1,1436,1,32 - Plaza de la Provincia,0,32,0,18,2024-02-16 14:34:09,-3.7061032,40.4150099,"(-3.7061032, 40.4150099)"
51,"Calle Carretas nº 3,",01,016,21,2,1437,1,33 - Puerta del Sol,0,33,0,23,2024-02-16 14:34:09,-3.7033305,40.4165873,"(-3.7033305, 40.4165873)"
52,"Plaza de Jacinto Benavente,",01,016,18,6,1438,1,34 - Jacinto Benavente,0,34,0,24,2024-02-16 14:34:09,-3.7036825,40.4146755,"(-3.7036825, 40.4146755)"
53,"Plaza del Cordón nº1,",01,011,14,10,1439,2,35 - Plaza del Cordón,0,35,0,24,2024-02-16 14:34:09,-3.7103285,40.4141931,"(-3.7103285, 40.4141931)"
54,"Plaza de Ramales nº1,",01,011,17,7,1440,1,36 - Plaza Ramales,0,36,0,24,2024-02-16 14:34:09,-3.71183,40.4168,"(-3.71183, 40.4168)"
55,"Plaza de San Francisco,",01,011,8,16,1441,2,37 - Plaza de San Francisco,0,37,0,24,2024-02-16 14:34:09,-3.714113,40.4108,"(-3.714113, 40.4108)"
56,"Carrera de San Francisco nº 2,",01,011,8,19,1442,0,38 - Plaza de los Carros,0,38,0,27,2024-02-16 14:34:09,-3.7115898,40.4113586,"(-3.7115898, 40.4113586)"
