,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
0,"Calle María de las Mercedes de Borbón, 214,",16,166,12,11,2365,2,"262 - María de las Mercedes de Borbón, 214",0,262,0,23,2024-02-12 04:34:20,-3.620114,40.4928683,"(-3.620114, 40.4928683)"
1,"Calle María de las Mercedes de Borbón, 98,",16,166,6,17,2366,0,"611 - María de las Mercedes de Borbón, 98",0,611,0,23,2024-02-12 04:34:20,-3.6121068531215528,40.490908297996654,"(-3.6121068531215528, 40.490908297996654)"
2,"237- calle Francisco Balseiro,Comunidad de Madrid España",06,061,9,15,2362,2,237 -  calle Francisco Balseiro,0,237,0,24,2024-02-12 04:34:20,-3.7102736,40.4516819,"(-3.7102736, 40.4516819)"
3,"para borrar,",16,166,0,0,1404,3,0 - para borrar,1,0,0,0,2024-02-12 04:34:20,-3.62018,40.49291,"(-3.62018, 40.49291)"
4,"Calle Miguel Moya nº 1,",01,015,13,14,1406,2,2 - Miguel Moya,0,2,0,27,2024-02-12 04:34:20,-3.70569,40.4204,"(-3.70569, 40.4204)"
5,"Plaza del Conde del Valle de Súchil nº 3,",07,072,6,13,1407,0,3 - Plaza Conde Suchil,0,3,0,19,2024-02-12 04:34:20,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
6,"Calle Manuela Malasaña nº 5,",01,015,20,7,1408,1,4 - Malasaña,0,4,0,27,2024-02-12 04:34:20,-3.7025,40.4286259,"(-3.7025, 40.4286259)"
7,"C. de Castiello de Jaca, 14,",08,086,9,14,2352,2,"603 - C. de Castiello de Jaca, 14",0,603,0,23,2024-02-12 04:34:20,-3.6782027,40.5091982,"(-3.6782027, 40.5091982)"
8,"Bardegueral 15,Comunidad de Madrid España",09,097,1,22,2360,0,610 - Bardegueral,0,610,0,23,2024-02-12 04:34:20,-3.7719097,40.4501721,"(-3.7719097, 40.4501721)"
9,"Calle Fuencarral nº 108,",01,014,15,12,1409,2,5 - Fuencarral,0,5,0,27,2024-02-12 04:34:20,-3.7021354,40.4285212,"(-3.7021354, 40.4285212)"
10,"Calle Hortaleza nº 63,",01,014,12,7,1410,2,6 - Colegio Arquitectos,0,6,0,19,2024-02-12 04:34:20,-3.698447,40.424148,"(-3.698447, 40.424148)"
11,"Calle Hortaleza nº 75,",01,014,10,9,1411,2,7 - Hortaleza,0,7,0,19,2024-02-12 04:34:20,-3.6977715,40.4251906,"(-3.6977715, 40.4251906)"
12,"Plaza de Alonso Martínez nº 5,",07,074,8,15,1412,2,8 - Alonso Martínez,0,8,0,24,2024-02-12 04:34:20,-3.6954403,40.4278682,"(-3.6954403, 40.4278682)"
13,"Plaza de San Miguel nº 9,",01,011,18,6,1413,1,9 - Plaza de San Miguel,0,9,0,24,2024-02-12 04:34:20,-3.7095084,40.4156057,"(-3.7095084, 40.4156057)"
14,"Calle Marqués de la Ensenada nº 16,",01,014,9,14,1414,2,10 - Marqués de la Ensenada,0,10,0,23,2024-02-12 04:34:20,-3.692104,40.425403,"(-3.692104, 40.425403)"
15,"Calle San Andrés nº 18,",01,015,6,17,1415,0,11 - San Andrés,0,11,0,23,2024-02-12 04:34:20,-3.7036,40.427,"(-3.7036, 40.427)"
16,"Calle San Bernardo nº 85,",01,015,21,6,1416,1,12 - San Hermenegildo,0,12,0,27,2024-02-12 04:34:20,-3.7061406,40.4284667,"(-3.7061406, 40.4284667)"
17,"Calle Conde Duque nº 22,",01,015,13,10,1417,2,13 - Conde Duque,0,13,0,23,2024-02-12 04:34:20,-3.7105,40.4273,"(-3.7105, 40.4273)"
18,"Ventura Rodriguez, 2,",09,092,16,11,1418,2,14 - Ventura Rodríguez,0,14,0,27,2024-02-12 04:34:20,-3.7133069,40.4260425,"(-3.7133069, 40.4260425)"
19,"Avda del Ensanche de Vallecas, 80,",18,183,11,16,2340,2,"448 - Avda del Ensanche de Vallecas, 80",0,448,0,27,2024-02-12 04:34:20,-3.599352,40.363376,"(-3.599352, 40.363376)"
20,"Calle de los Pinillas, 19,",19,192,17,10,2341,2,"472 - Calle de los Pinillas, 19",0,472,0,27,2024-02-12 04:34:20,-3.6211485,40.3987974,"(-3.6211485, 40.3987974)"
21,"473 - Calle de Vilablanca, frente  85,",19,191,18,9,2342,2,"473 - Calle de Villablanca, frente  85",0,473,0,27,2024-02-12 04:34:20,-3.59888007,40.40500033,"(-3.59888007, 40.40500033)"
