,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,2,25,1406,0,0,0,2024-03-05 20:20:37
1,1,13,6,1407,2,0,0,2024-03-05 20:20:37
2,1,5,22,1408,0,0,0,2024-03-05 20:20:37
3,1,10,17,1409,2,0,0,2024-03-05 20:20:37
4,1,19,0,1410,1,0,0,2024-03-05 20:20:37
5,1,6,13,1411,0,0,0,2024-03-05 20:20:37
6,1,9,15,1412,2,0,0,2024-03-05 20:20:37
7,1,21,3,1413,1,0,0,2024-03-05 20:20:37
8,1,5,18,1414,0,0,0,2024-03-05 20:20:37
9,1,7,16,1415,0,0,0,2024-03-05 20:20:37
10,1,23,4,1416,1,0,0,2024-03-05 20:20:37
11,1,8,15,1417,2,0,0,2024-03-05 20:20:37
12,1,1,26,1418,0,0,0,2024-03-05 20:20:37
13,1,6,13,1419,0,0,0,2024-03-05 20:20:37
14,1,3,16,1420,0,0,0,2024-03-05 20:20:37
15,1,1,22,1421,0,0,0,2024-03-05 20:20:37
16,1,5,19,1422,0,0,0,2024-03-05 20:20:37
17,1,5,23,1423,0,0,0,2024-03-05 20:20:37
18,1,10,17,1424,2,0,0,2024-03-05 20:20:37
19,1,0,0,1425,3,1,0,2024-03-05 20:20:37
20,1,16,8,1426,2,0,0,2024-03-05 20:20:37
21,1,4,14,1427,0,0,0,2024-03-05 20:20:37
22,1,4,20,1428,0,0,0,2024-03-05 20:20:37
23,1,3,21,1429,0,0,0,2024-03-05 20:20:37
24,1,16,11,1430,2,0,0,2024-03-05 20:20:37
25,1,16,11,1431,2,0,0,2024-03-05 20:20:37
26,1,3,15,1432,0,0,0,2024-03-05 20:20:37
27,1,22,1,1433,1,0,0,2024-03-05 20:20:37
28,1,17,10,1434,2,0,0,2024-03-05 20:20:37
29,1,21,6,1435,1,0,0,2024-03-05 20:20:37
30,1,6,12,1436,2,0,0,2024-03-05 20:20:37
31,1,8,15,1437,2,0,0,2024-03-05 20:20:37
32,1,13,11,1438,2,0,0,2024-03-05 20:20:37
33,1,3,21,1439,0,0,0,2024-03-05 20:20:37
34,1,12,12,1440,2,0,0,2024-03-05 20:20:37
35,1,17,7,1441,1,0,0,2024-03-05 20:20:37
36,1,26,1,1442,1,0,0,2024-03-05 20:20:37
37,1,20,11,1443,2,0,0,2024-03-05 20:20:37
38,1,12,6,1444,2,0,0,2024-03-05 20:20:37
39,1,3,16,1445,0,0,0,2024-03-05 20:20:37
40,1,13,14,1446,2,0,0,2024-03-05 20:20:37
41,1,3,15,1447,0,0,0,2024-03-05 20:20:37
42,1,12,7,1448,2,0,0,2024-03-05 20:20:37
43,1,11,8,1449,2,0,0,2024-03-05 20:20:37
44,1,28,0,1450,1,0,0,2024-03-05 20:20:37
45,1,22,2,1451,1,0,0,2024-03-05 20:20:37
46,1,16,8,1452,2,0,0,2024-03-05 20:20:37
47,1,18,9,1453,2,0,0,2024-03-05 20:20:37
48,1,11,13,1454,2,0,0,2024-03-05 20:20:37
49,1,17,10,1455,2,0,0,2024-03-05 20:20:37
50,1,15,0,1456,1,0,0,2024-03-05 20:20:37
51,1,14,10,1457,2,0,0,2024-03-05 20:20:37
52,1,18,1,1458,1,0,0,2024-03-05 20:20:37
53,1,14,10,1459,2,0,0,2024-03-05 20:20:37
54,1,9,14,1460,2,0,0,2024-03-05 20:20:37
55,1,11,12,1461,2,0,0,2024-03-05 20:20:37
56,1,12,15,1462,2,0,0,2024-03-05 20:20:37
57,1,3,16,1463,0,0,0,2024-03-05 20:20:37
58,1,17,6,1464,1,0,0,2024-03-05 20:20:37
59,1,15,12,1465,2,0,0,2024-03-05 20:20:37
60,1,4,23,1466,0,0,0,2024-03-05 20:20:37
61,1,15,8,1467,2,0,0,2024-03-05 20:20:37
62,1,5,19,1468,0,0,0,2024-03-05 20:20:37
63,1,3,20,1469,0,0,0,2024-03-05 20:20:37
64,1,9,10,1470,2,0,0,2024-03-05 20:20:37
65,1,10,17,1471,2,0,0,2024-03-05 20:20:37
66,1,12,15,1472,2,0,0,2024-03-05 20:20:37
67,1,11,12,1473,2,0,0,2024-03-05 20:20:37
68,1,7,16,1474,0,0,0,2024-03-05 20:20:37
69,1,19,4,1475,1,0,0,2024-03-05 20:20:37
70,1,22,5,1476,1,0,0,2024-03-05 20:20:37
71,1,17,10,1477,2,0,0,2024-03-05 20:20:37
72,1,17,7,1478,1,0,0,2024-03-05 20:20:37
73,1,12,6,1479,2,0,0,2024-03-05 20:20:37
74,1,11,12,1480,2,0,0,2024-03-05 20:20:37
75,1,18,9,1481,2,0,0,2024-03-05 20:20:37
76,1,24,0,1484,1,0,0,2024-03-05 20:20:37
77,1,9,14,1485,2,0,0,2024-03-05 20:20:37
78,1,8,15,1486,2,0,0,2024-03-05 20:20:37
79,1,16,7,1487,2,0,0,2024-03-05 20:20:37
80,1,19,8,1488,1,0,0,2024-03-05 20:20:37
81,1,8,16,1489,2,0,0,2024-03-05 20:20:37
82,1,9,14,1490,2,0,0,2024-03-05 20:20:37
83,1,5,18,1491,0,0,0,2024-03-05 20:20:37
84,1,1,22,1492,0,0,0,2024-03-05 20:20:37
85,1,20,7,1493,1,0,0,2024-03-05 20:20:37
86,1,7,16,1494,0,0,0,2024-03-05 20:20:37
87,1,4,19,1495,0,0,0,2024-03-05 20:20:37
88,1,14,9,1496,2,0,0,2024-03-05 20:20:37
89,1,8,15,1497,2,0,0,2024-03-05 20:20:37
90,1,4,19,1498,0,0,0,2024-03-05 20:20:37
91,1,5,22,1499,0,0,0,2024-03-05 20:20:37
92,1,17,10,1500,2,0,0,2024-03-05 20:20:37
93,1,13,11,1501,2,0,0,2024-03-05 20:20:37
94,1,17,6,1502,1,0,0,2024-03-05 20:20:37
95,1,15,12,1503,2,0,0,2024-03-05 20:20:37
96,1,21,3,1504,1,0,0,2024-03-05 20:20:37
97,1,20,3,1505,1,0,0,2024-03-05 20:20:37
98,1,3,20,1506,0,0,0,2024-03-05 20:20:37
99,1,8,14,1507,2,0,0,2024-03-05 20:20:37
100,1,7,16,1508,0,0,0,2024-03-05 20:20:37
101,1,10,9,1510,2,0,0,2024-03-05 20:20:37
102,1,4,19,1511,0,0,0,2024-03-05 20:20:37
103,1,10,17,1512,2,0,0,2024-03-05 20:20:37
104,1,0,23,1513,0,0,0,2024-03-05 20:20:37
105,1,9,14,1514,2,0,0,2024-03-05 20:20:37
