,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,16,11,1406,2,0,0,2024-02-24 10:06:11
1,3,16,1407,0,0,0,2024-02-24 10:06:11
2,8,19,1408,0,0,0,2024-02-24 10:06:11
3,6,20,1409,0,0,0,2024-02-24 10:06:11
4,9,10,1410,2,0,0,2024-02-24 10:06:11
5,13,6,1411,2,0,0,2024-02-24 10:06:11
6,8,16,1412,2,0,0,2024-02-24 10:06:11
7,8,16,1413,2,0,0,2024-02-24 10:06:11
8,15,8,1414,2,0,0,2024-02-24 10:06:11
9,2,21,1415,0,0,0,2024-02-24 10:06:11
10,22,5,1416,1,0,0,2024-02-24 10:06:11
11,9,14,1417,2,0,0,2024-02-24 10:06:11
12,19,8,1418,1,0,0,2024-02-24 10:06:11
13,6,13,1419,0,0,0,2024-02-24 10:06:11
14,5,14,1420,0,0,0,2024-02-24 10:06:11
15,4,19,1421,0,0,0,2024-02-24 10:06:11
16,3,21,1422,0,0,0,2024-02-24 10:06:11
17,15,13,1423,2,0,0,2024-02-24 10:06:11
18,15,12,1424,2,0,0,2024-02-24 10:06:11
19,0,0,1425,3,1,0,2024-02-24 10:06:11
20,3,21,1426,0,0,0,2024-02-24 10:06:11
21,7,11,1427,2,0,0,2024-02-24 10:06:11
22,21,3,1428,1,0,0,2024-02-24 10:06:11
23,15,9,1429,2,0,0,2024-02-24 10:06:11
24,13,14,1430,2,0,0,2024-02-24 10:06:11
25,7,20,1431,0,0,0,2024-02-24 10:06:11
26,12,6,1432,2,0,0,2024-02-24 10:06:11
27,15,8,1433,2,0,0,2024-02-24 10:06:11
28,15,12,1434,2,0,0,2024-02-24 10:06:11
29,10,17,1435,2,0,0,2024-02-24 10:06:11
30,5,13,1436,0,0,0,2024-02-24 10:06:11
31,4,19,1437,0,0,0,2024-02-24 10:06:11
32,17,7,1438,1,0,0,2024-02-24 10:06:11
33,17,7,1439,1,0,0,2024-02-24 10:06:11
34,17,6,1440,1,0,0,2024-02-24 10:06:11
35,18,6,1441,1,0,0,2024-02-24 10:06:11
36,12,15,1442,2,0,0,2024-02-24 10:06:11
37,19,12,1443,2,0,0,2024-02-24 10:06:11
38,3,15,1444,0,0,0,2024-02-24 10:06:11
39,9,9,1445,2,0,0,2024-02-24 10:06:11
40,9,18,1446,2,0,0,2024-02-24 10:06:11
41,7,11,1447,2,0,0,2024-02-24 10:06:11
42,10,9,1448,2,0,0,2024-02-24 10:06:11
43,14,5,1449,1,0,0,2024-02-24 10:06:11
44,19,8,1450,1,0,0,2024-02-24 10:06:11
45,20,4,1451,1,0,0,2024-02-24 10:06:11
46,6,17,1452,0,0,0,2024-02-24 10:06:11
47,22,5,1453,1,0,0,2024-02-24 10:06:11
48,19,5,1454,1,0,0,2024-02-24 10:06:11
49,21,6,1455,1,0,0,2024-02-24 10:06:11
50,3,12,1456,0,0,0,2024-02-24 10:06:11
51,4,20,1457,0,0,0,2024-02-24 10:06:11
52,1,18,1458,0,0,0,2024-02-24 10:06:11
53,12,12,1459,2,0,0,2024-02-24 10:06:11
54,3,20,1460,0,0,0,2024-02-24 10:06:11
55,14,9,1461,2,0,0,2024-02-24 10:06:11
56,7,20,1462,0,0,0,2024-02-24 10:06:11
57,11,8,1463,2,0,0,2024-02-24 10:06:11
58,16,7,1464,2,0,0,2024-02-24 10:06:11
59,13,14,1465,2,0,0,2024-02-24 10:06:11
60,18,9,1466,2,0,0,2024-02-24 10:06:11
61,13,10,1467,2,0,0,2024-02-24 10:06:11
62,12,12,1468,2,0,0,2024-02-24 10:06:11
63,6,17,1469,0,0,0,2024-02-24 10:06:11
64,10,9,1470,2,0,0,2024-02-24 10:06:11
65,12,15,1471,2,0,0,2024-02-24 10:06:11
66,12,15,1472,2,0,0,2024-02-24 10:06:11
67,11,12,1473,2,0,0,2024-02-24 10:06:11
68,10,13,1474,2,0,0,2024-02-24 10:06:11
69,18,5,1475,1,0,0,2024-02-24 10:06:11
70,26,1,1476,1,0,0,2024-02-24 10:06:11
71,18,9,1477,2,0,0,2024-02-24 10:06:11
72,13,11,1478,2,0,0,2024-02-24 10:06:11
73,7,11,1479,2,0,0,2024-02-24 10:06:11
74,11,12,1480,2,0,0,2024-02-24 10:06:11
75,9,18,1481,2,0,0,2024-02-24 10:06:11
76,14,10,1484,2,0,0,2024-02-24 10:06:11
77,11,12,1485,2,0,0,2024-02-24 10:06:11
78,19,4,1486,1,0,0,2024-02-24 10:06:11
79,15,8,1487,2,0,0,2024-02-24 10:06:11
80,10,17,1488,2,0,0,2024-02-24 10:06:11
81,21,3,1489,1,0,0,2024-02-24 10:06:11
82,12,11,1490,2,0,0,2024-02-24 10:06:11
83,15,8,1491,2,0,0,2024-02-24 10:06:11
84,6,17,1492,0,0,0,2024-02-24 10:06:11
85,11,16,1493,2,0,0,2024-02-24 10:06:11
86,1,22,1494,0,0,0,2024-02-24 10:06:11
87,18,5,1495,1,0,0,2024-02-24 10:06:11
88,19,4,1496,1,0,0,2024-02-24 10:06:11
89,11,12,1497,2,0,0,2024-02-24 10:06:11
90,4,19,1498,0,0,0,2024-02-24 10:06:11
91,15,12,1499,2,0,0,2024-02-24 10:06:11
92,24,3,1500,1,0,0,2024-02-24 10:06:11
93,18,6,1501,1,0,0,2024-02-24 10:06:11
94,12,11,1502,2,0,0,2024-02-24 10:06:11
95,20,7,1503,1,0,0,2024-02-24 10:06:11
96,18,5,1504,1,0,0,2024-02-24 10:06:11
97,19,4,1505,1,0,0,2024-02-24 10:06:11
98,7,16,1506,0,0,0,2024-02-24 10:06:11
99,18,4,1507,1,0,0,2024-02-24 10:06:11
100,14,9,1508,2,0,0,2024-02-24 10:06:11
101,13,6,1510,2,0,0,2024-02-24 10:06:11
102,8,15,1511,2,0,0,2024-02-24 10:06:11
103,2,25,1512,0,0,0,2024-02-24 10:06:11
104,18,5,1513,1,0,0,2024-02-24 10:06:11
105,10,13,1514,2,0,0,2024-02-24 10:06:11
106,20,3,1515,1,0,0,2024-02-24 10:06:11
107,14,9,1516,2,0,0,2024-02-24 10:06:11
108,16,7,1517,2,0,0,2024-02-24 10:06:11
109,19,5,1518,1,0,0,2024-02-24 10:06:11
110,15,8,1519,2,0,0,2024-02-24 10:06:11
111,8,15,1520,2,0,0,2024-02-24 10:06:11
112,10,8,1521,2,0,0,2024-02-24 10:06:11
113,6,12,1522,2,0,0,2024-02-24 10:06:11
114,21,2,1523,1,0,0,2024-02-24 10:06:11
115,11,12,1524,2,0,0,2024-02-24 10:06:11
116,11,12,1525,2,0,0,2024-02-24 10:06:11
117,16,11,1526,2,0,0,2024-02-24 10:06:11
118,14,13,1527,2,0,0,2024-02-24 10:06:11
119,3,20,1528,0,0,0,2024-02-24 10:06:11
120,15,12,1529,2,0,0,2024-02-24 10:06:11
