,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,21,6,1406,1,0,0,2024-02-23 03:51:45
1,14,5,1407,1,0,0,2024-02-23 03:51:45
2,7,20,1408,0,0,0,2024-02-23 03:51:45
3,16,10,1409,2,0,0,2024-02-23 03:51:45
4,1,18,1410,0,0,0,2024-02-23 03:51:45
5,10,9,1411,2,0,0,2024-02-23 03:51:45
6,15,9,1412,2,0,0,2024-02-23 03:51:45
7,7,17,1413,0,0,0,2024-02-23 03:51:45
8,10,13,1414,2,0,0,2024-02-23 03:51:45
9,1,22,1415,0,0,0,2024-02-23 03:51:45
10,17,10,1416,2,0,0,2024-02-23 03:51:45
11,16,7,1417,2,0,0,2024-02-23 03:51:45
12,10,17,1418,2,0,0,2024-02-23 03:51:45
13,10,9,1419,2,0,0,2024-02-23 03:51:45
14,7,12,1420,2,0,0,2024-02-23 03:51:45
15,6,17,1421,0,0,0,2024-02-23 03:51:45
16,9,15,1422,2,0,0,2024-02-23 03:51:45
17,22,6,1423,1,0,0,2024-02-23 03:51:45
18,4,23,1424,0,0,0,2024-02-23 03:51:45
19,0,0,1425,3,1,0,2024-02-23 03:51:45
20,17,7,1426,1,0,0,2024-02-23 03:51:45
21,3,15,1427,0,0,0,2024-02-23 03:51:45
22,4,20,1428,0,0,0,2024-02-23 03:51:45
23,5,19,1429,0,0,0,2024-02-23 03:51:45
24,7,20,1430,0,0,0,2024-02-23 03:51:45
25,9,18,1431,2,0,0,2024-02-23 03:51:45
26,13,5,1432,1,0,0,2024-02-23 03:51:45
27,22,1,1433,1,0,0,2024-02-23 03:51:45
28,20,7,1434,1,0,0,2024-02-23 03:51:45
29,8,19,1435,0,0,0,2024-02-23 03:51:45
30,6,12,1436,2,0,0,2024-02-23 03:51:45
31,15,8,1437,2,0,0,2024-02-23 03:51:45
32,5,19,1438,0,0,0,2024-02-23 03:51:45
33,7,17,1439,0,0,0,2024-02-23 03:51:45
34,9,14,1440,2,0,0,2024-02-23 03:51:45
35,23,1,1441,1,0,0,2024-02-23 03:51:45
36,22,5,1442,1,0,0,2024-02-23 03:51:45
37,26,5,1443,1,0,0,2024-02-23 03:51:45
38,9,9,1444,2,0,0,2024-02-23 03:51:45
39,12,6,1445,2,0,0,2024-02-23 03:51:45
40,22,5,1446,1,0,0,2024-02-23 03:51:45
41,7,11,1447,2,0,0,2024-02-23 03:51:45
42,14,5,1448,1,0,0,2024-02-23 03:51:45
43,14,5,1449,1,0,0,2024-02-23 03:51:45
44,27,0,1450,1,0,0,2024-02-23 03:51:45
45,22,2,1451,1,0,0,2024-02-23 03:51:45
46,14,9,1452,2,0,0,2024-02-23 03:51:45
47,14,13,1453,2,0,0,2024-02-23 03:51:45
48,22,2,1454,1,0,0,2024-02-23 03:51:45
49,20,7,1455,1,0,0,2024-02-23 03:51:45
50,9,6,1456,2,0,0,2024-02-23 03:51:45
51,22,2,1457,1,0,0,2024-02-23 03:51:45
52,8,11,1458,2,0,0,2024-02-23 03:51:45
53,21,3,1459,1,0,0,2024-02-23 03:51:45
54,8,15,1460,2,0,0,2024-02-23 03:51:45
55,11,12,1461,2,0,0,2024-02-23 03:51:45
56,15,12,1462,2,0,0,2024-02-23 03:51:45
57,3,16,1463,0,0,0,2024-02-23 03:51:45
58,5,18,1464,0,0,0,2024-02-23 03:51:45
59,10,17,1465,2,0,0,2024-02-23 03:51:45
60,9,18,1466,2,0,0,2024-02-23 03:51:45
61,12,11,1467,2,0,0,2024-02-23 03:51:45
62,14,10,1468,2,0,0,2024-02-23 03:51:45
63,19,4,1469,1,0,0,2024-02-23 03:51:45
64,17,2,1470,1,0,0,2024-02-23 03:51:45
65,12,15,1471,2,0,0,2024-02-23 03:51:45
66,16,11,1472,2,0,0,2024-02-23 03:51:45
67,13,10,1473,2,0,0,2024-02-23 03:51:45
68,14,9,1474,2,0,0,2024-02-23 03:51:45
69,22,1,1475,1,0,0,2024-02-23 03:51:45
70,15,12,1476,2,0,0,2024-02-23 03:51:45
71,10,17,1477,2,0,0,2024-02-23 03:51:45
72,13,11,1478,2,0,0,2024-02-23 03:51:45
73,13,5,1479,1,0,0,2024-02-23 03:51:45
74,5,18,1480,0,0,0,2024-02-23 03:51:45
75,21,6,1481,1,0,0,2024-02-23 03:51:45
76,8,16,1484,2,0,0,2024-02-23 03:51:45
77,9,14,1485,2,0,0,2024-02-23 03:51:45
78,7,16,1486,0,0,0,2024-02-23 03:51:45
79,7,16,1487,0,0,0,2024-02-23 03:51:45
80,21,6,1488,1,0,0,2024-02-23 03:51:45
81,12,12,1489,2,0,0,2024-02-23 03:51:45
82,9,14,1490,2,0,0,2024-02-23 03:51:45
83,14,9,1491,2,0,0,2024-02-23 03:51:45
84,2,21,1492,0,0,0,2024-02-23 03:51:45
85,7,20,1493,0,0,0,2024-02-23 03:51:45
86,10,13,1494,2,0,0,2024-02-23 03:51:45
87,10,13,1495,2,0,0,2024-02-23 03:51:45
88,3,20,1496,0,0,0,2024-02-23 03:51:45
89,16,7,1497,2,0,0,2024-02-23 03:51:45
90,5,18,1498,0,0,0,2024-02-23 03:51:45
91,11,16,1499,2,0,0,2024-02-23 03:51:45
92,12,15,1500,2,0,0,2024-02-23 03:51:45
93,13,11,1501,2,0,0,2024-02-23 03:51:45
94,4,19,1502,0,0,0,2024-02-23 03:51:45
95,18,9,1503,2,0,0,2024-02-23 03:51:45
96,17,6,1504,1,0,0,2024-02-23 03:51:45
97,13,10,1505,2,0,0,2024-02-23 03:51:45
98,14,9,1506,2,0,0,2024-02-23 03:51:45
99,7,15,1507,0,0,0,2024-02-23 03:51:45
100,17,6,1508,1,0,0,2024-02-23 03:51:45
101,14,5,1510,1,0,0,2024-02-23 03:51:45
102,12,11,1511,2,0,0,2024-02-23 03:51:45
103,9,18,1512,2,0,0,2024-02-23 03:51:45
104,5,18,1513,0,0,0,2024-02-23 03:51:45
105,20,3,1514,1,0,0,2024-02-23 03:51:45
