,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
0,"Calle María de las Mercedes de Borbón, 214,",16,166,13,10,2365,2,"262 - María de las Mercedes de Borbón, 214",0,262,0,23,2024-02-09 17:22:44,-3.620114,40.4928683,"(-3.620114, 40.4928683)"
1,"Calle María de las Mercedes de Borbón, 98,",16,166,5,18,2366,0,"611 - María de las Mercedes de Borbón, 98",0,611,0,23,2024-02-09 17:22:44,-3.6121068531215528,40.490908297996654,"(-3.6121068531215528, 40.490908297996654)"
2,"237- calle Francisco Balseiro,Comunidad de Madrid España",06,061,13,11,2362,2,237 -  calle Francisco Balseiro,0,237,0,24,2024-02-09 17:22:44,-3.7102736,40.4516819,"(-3.7102736, 40.4516819)"
3,"para borrar,",16,166,0,0,1404,3,0 - para borrar,1,0,0,0,2024-02-09 17:22:44,-3.62018,40.49291,"(-3.62018, 40.49291)"
4,"Calle Miguel Moya nº 1,",01,015,14,13,1406,2,2 - Miguel Moya,0,2,0,27,2024-02-09 17:22:44,-3.70569,40.4204,"(-3.70569, 40.4204)"
5,"Plaza del Conde del Valle de Súchil nº 3,",07,072,10,9,1407,2,3 - Plaza Conde Suchil,0,3,0,19,2024-02-09 17:22:44,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
6,"Calle Manuela Malasaña nº 5,",01,015,10,17,1408,2,4 - Malasaña,0,4,0,27,2024-02-09 17:22:44,-3.7025,40.4286259,"(-3.7025, 40.4286259)"
7,"C. de Castiello de Jaca, 14,",08,086,8,15,2352,2,"603 - C. de Castiello de Jaca, 14",0,603,0,23,2024-02-09 17:22:44,-3.6782027,40.5091982,"(-3.6782027, 40.5091982)"
8,"c/ Valcarlos 20,Comunidad de Madrid España",08,086,1,26,2359,0,607 - Valcarlos 20,0,607,0,27,2024-02-09 17:22:44,-3.6641571,40.5051915,"(-3.6641571, 40.5051915)"
9,"Bardegueral 15,Comunidad de Madrid España",09,097,1,22,2360,0,610 - Bardegueral,0,610,0,23,2024-02-09 17:22:44,-3.7719097,40.4501721,"(-3.7719097, 40.4501721)"
